Date,Temperature (ºF),Temperature (ºC),pH (mV),Salinity (PSU),Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",Oxygen Reduction Potential (mV),Chlorophyll (RFU),Total Algae (RFU),Total Dissolved Solids (mg/L),pH (YSI),Turbidity (RFU),Phosphate (mg/L),"Nitrate, Mid-Range (mg/L)","Nitrate, High-Range (mg/L)",pH (Hach),Alkalinity (mg/L CaCO3),Silica (mg/L),Iron (mg/L),Ammonia (mg/L)
2011,78.575,25.9,NA,28.8,45200,NA,NA,NA,NA,NA,316,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,78.35,25.8,NA,26.3,41900,NA,NA,NA,NA,NA,349,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,75.0875,23.9,NA,25.2,38500,NA,NA,NA,NA,NA,182,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,76.3813,24.6,NA,24.3,38000,NA,NA,NA,NA,NA,183,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,73.0062,22.7,NA,24.3,36000,NA,NA,NA,NA,NA,167,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,74.75,23.7,NA,24.7,37700,NA,NA,NA,NA,NA,148,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,71.4313,22,NA,27.4,41300,NA,NA,NA,NA,NA,797,NA,NA,NA,8.2,0,0.05,0.9,1.5,NA,NA,NA,NA,NA
2018,76.3813,24.3,NA,31.404999,47100,NA,NA,NA,92,NA,781,NA,0,NA,8.6,0,0.09,1,1.8,8.295,132,0.31,0.004,NA
2019,72.725,22.929998,NA,33.459999,49556.248,NA,NA,NA,92.5,NA,772,NA,0,NA,8.259999,0,0.03,0.7,1.2,8.44,125.2,0.45,0.003,NA
2020,NA,24.9,NA,34.25,51406.25,NA,NA,NA,91,NA,747.875,NA,0,NA,8.5075,0,0.04,0.7,1.1,8.254999999999999,128.5,0.55,0,NA
2021,77.005234,25.002907,-91.255543,33.439999,50839.285156,49921.26563,49974.97656,6.232825,90.3863375,104.17672,715.882812,0.199238,1.258468,32422.939453,8.1762195,0,0.11,1.2,1.5,8.18,128,1.58,0.002,NA
2022,77.083786,25.046549,-100.25303650000001,32.917324,50722.699219,50531.363281,50528.4550805,6.221184,91.055328,104.15972550000001,230.246323,-0.563363,-2.5720315,32828.285156,8.143021,0,0.10500000000000001,1,1.35,8.07,122,1.61,0.008,NA
2022,77.083786,25.046549,-100.25303650000001,32.917324,50722.699219,50531.363281,50528.4550805,6.221184,91.055328,104.15972550000001,230.246323,-0.563363,-2.5720315,32828.285156,8.143021,0,0.10500000000000001,1,1.35,8.07,122,1.61,0.008,0.01
2022,77.083786,25.046549,-100.25303650000001,32.917324,50722.699219,50531.363281,50528.4550805,6.221184,91.055328,104.15972550000001,230.246323,-0.563363,-2.5720315,32828.285156,8.143021,0,0.10500000000000001,1,1.35,8.07,122,1.61,0.008,0.05
2023,77.173607,25.096447,-98.74485,33.112946,50536.550781,50571.140625,50568.234375,6.286252,91.898064,104.610336,223.700287,-0.5196215,-1.949193,32870.7851565,8.059549,0,0.09,1.2,1.8,8.129999999999999,131,1.41,0.0075,NA
2023,77.173607,25.096447,-98.74485,33.112946,50536.550781,50571.140625,50568.234375,6.286252,91.898064,104.610336,223.700287,-0.5196215,-1.949193,32870.7851565,8.059549,0,0.09,1.2,1.8,8.129999999999999,131,1.41,0.0075,0.03
2023,77.173607,25.096447,-98.74485,33.112946,50536.550781,50571.140625,50568.234375,6.286252,91.898064,104.610336,223.700287,-0.5196215,-1.949193,32870.7851565,8.059549,0,0.09,1.2,1.8,8.129999999999999,131,1.41,0.0075,0.02
2023,77.173607,25.096447,-98.74485,33.112946,50536.550781,50571.140625,50568.234375,6.286252,91.898064,104.610336,223.700287,-0.5196215,-1.949193,32870.7851565,8.059549,0,0.09,1.2,1.8,8.129999999999999,131,1.41,0.0075,0.01
2023,77.173607,25.096447,-98.74485,33.112946,50536.550781,50571.140625,50568.234375,6.286252,91.898064,104.610336,223.700287,-0.5196215,-1.949193,32870.7851565,8.059549,0,0.09,1.2,1.8,8.129999999999999,131,1.41,0.0075,0
2023,77.173607,25.096447,-98.74485,33.112946,50536.550781,50571.140625,50568.234375,6.286252,91.898064,104.610336,223.700287,-0.5196215,-1.949193,32870.7851565,8.059549,0,0.09,1.2,1.8,8.129999999999999,131,1.41,0.0075,0.06
