row,column,cor_coeff,p_value
Turbidity,Phosphate,-0.06,0.88
Turbidity,Nitrate MR,-0.27,0.48
Phosphate,Nitrate MR,0.5,0.17
Turbidity,Nitrate HR,-0.07,0.85
Phosphate,Nitrate HR,0.27,0.48
Nitrate MR,Nitrate HR,0.81,0.01
Turbidity,pH,-0.11,0.78
Phosphate,pH,-0.71,0.03
Nitrate MR,pH,-0.48,0.19
Nitrate HR,pH,-0.3,0.43
Turbidity,Alkalinity,-0.12,0.75
Phosphate,Alkalinity,-0.18,0.63
Nitrate MR,Alkalinity,-0.42,0.27
Nitrate HR,Alkalinity,-0.44,0.24
pH,Alkalinity,0.01,0.99
Turbidity,Silica,-0.04,0.93
Phosphate,Silica,0.52,0.15
Nitrate MR,Silica,-0.04,0.91
Nitrate HR,Silica,-0.27,0.47
pH,Silica,-0.65,0.06
Alkalinity,Silica,0.17,0.65
Turbidity,Iron,0.02,0.96
Phosphate,Iron,0.08,0.83
Nitrate MR,Iron,0.16,0.68
Nitrate HR,Iron,0.09,0.83
pH,Iron,-0.36,0.34
Alkalinity,Iron,-0.21,0.59
Silica,Iron,0.11,0.78
Turbidity,Ammonia,-0.14,0.71
Phosphate,Ammonia,-0.2,0.61
Nitrate MR,Ammonia,-0.18,0.64
Nitrate HR,Ammonia,-0.18,0.63
pH,Ammonia,0.02,0.96
Alkalinity,Ammonia,-0.11,0.78
Silica,Ammonia,-0.14,0.72
Iron,Ammonia,-0.17,0.65
