row,column,cor_coeff,p_value
Turbidity,Phosphate,0.06,0.35
Turbidity,Nitrate MR,-0.08,0.18
Phosphate,Nitrate MR,0.35,0
Turbidity,Nitrate HR,0.07,0.24
Phosphate,Nitrate HR,0.22,0
Nitrate MR,Nitrate HR,0.59,0
Turbidity,Alkalinity,-0.01,0.93
Phosphate,Alkalinity,-0.03,0.7
Nitrate MR,Alkalinity,-0.1,0.15
Nitrate HR,Alkalinity,-0.07,0.31
Turbidity,Silica,0.04,0.53
Phosphate,Silica,0.34,0
Nitrate MR,Silica,-0,0.99
Nitrate HR,Silica,-0.11,0.1
Alkalinity,Silica,0.13,0.06
Turbidity,Iron,0.08,0.21
Phosphate,Iron,0.07,0.28
Nitrate MR,Iron,0.13,0.05
Nitrate HR,Iron,0.11,0.1
Alkalinity,Iron,-0.03,0.62
Silica,Iron,0.12,0.08
Turbidity,Ammonia,0.53,0.17
Phosphate,Ammonia,0.34,0.46
Nitrate MR,Ammonia,-0.37,0.42
Nitrate HR,Ammonia,-0.25,0.56
Alkalinity,Ammonia,0.22,0.59
Silica,Ammonia,-0.42,0.35
Iron,Ammonia,-0.26,0.62
Turbidity,pH (Nutrients),-0.04,0.53
Phosphate,pH (Nutrients),-0.31,0
Nitrate MR,pH (Nutrients),-0.23,0
Nitrate HR,pH (Nutrients),-0.14,0.04
Alkalinity,pH (Nutrients),0.02,0.75
Silica,pH (Nutrients),-0.31,0
Iron,pH (Nutrients),-0.14,0.04
Ammonia,pH (Nutrients),-0.66,0.07
Turbidity,Temperature (ºF),-0.03,0.69
Phosphate,Temperature (ºF),0.34,0
Nitrate MR,Temperature (ºF),0.34,0
Nitrate HR,Temperature (ºF),-0.13,0.11
Alkalinity,Temperature (ºF),0.09,0.36
Silica,Temperature (ºF),0.66,0
Iron,Temperature (ºF),0.11,0.27
Ammonia,Temperature (ºF),-0.33,0.79
pH (Nutrients),Temperature (ºF),-0.28,0
Turbidity,Temperature (ºC),-0.03,0.64
Phosphate,Temperature (ºC),0.28,0
Nitrate MR,Temperature (ºC),0.35,0
Nitrate HR,Temperature (ºC),0.03,0.69
Alkalinity,Temperature (ºC),-0.04,0.58
Silica,Temperature (ºC),0.37,0
Iron,Temperature (ºC),0.12,0.1
Ammonia,Temperature (ºC),-0.33,0.79
pH (Nutrients),Temperature (ºC),-0.29,0
Temperature (ºF),Temperature (ºC),1,0
Turbidity,pH (mV),-0.1,0.37
Phosphate,pH (mV),0.04,0.75
Nitrate MR,pH (mV),-0.08,0.46
Nitrate HR,pH (mV),-0.08,0.48
Alkalinity,pH (mV),0.4,0
Silica,pH (mV),-0.02,0.85
Iron,pH (mV),-0.14,0.21
Ammonia,pH (mV),0.85,0.35
pH (Nutrients),pH (mV),0.19,0.07
Temperature (ºF),pH (mV),-0.31,0
Temperature (ºC),pH (mV),-0.31,0.01
Turbidity,Salinity (PSU),-0.01,0.85
Phosphate,Salinity (PSU),-0.24,0
Nitrate MR,Salinity (PSU),-0.14,0.05
Nitrate HR,Salinity (PSU),-0.3,0
Alkalinity,Salinity (PSU),0.01,0.87
Silica,Salinity (PSU),-0.12,0.15
Iron,Salinity (PSU),-0.07,0.42
Ammonia,Salinity (PSU),NA,NA
pH (Nutrients),Salinity (PSU),0.21,0.02
Temperature (ºF),Salinity (PSU),0.34,0
Temperature (ºC),Salinity (PSU),0.31,0
pH (mV),Salinity (PSU),-0.51,0
Turbidity,Conductivity (µS/cm),-0.02,0.74
Phosphate,Conductivity (µS/cm),0.02,0.74
Nitrate MR,Conductivity (µS/cm),0.1,0.14
Nitrate HR,Conductivity (µS/cm),-0.19,0.01
Alkalinity,Conductivity (µS/cm),0.02,0.83
Silica,Conductivity (µS/cm),0.17,0.04
Iron,Conductivity (µS/cm),0.03,0.7
Ammonia,Conductivity (µS/cm),1,NA
pH (Nutrients),Conductivity (µS/cm),-0.06,0.48
Temperature (ºF),Conductivity (µS/cm),0.82,0
Temperature (ºC),Conductivity (µS/cm),0.77,0
pH (mV),Conductivity (µS/cm),-0.17,0.2
Salinity (PSU),Conductivity (µS/cm),0.85,0
Turbidity,"Conductivity, Non-Linear Function (µS/cm)",-0.01,0.96
Phosphate,"Conductivity, Non-Linear Function (µS/cm)",-0.13,0.24
Nitrate MR,"Conductivity, Non-Linear Function (µS/cm)",-0.37,0
Nitrate HR,"Conductivity, Non-Linear Function (µS/cm)",-0.07,0.56
Alkalinity,"Conductivity, Non-Linear Function (µS/cm)",-0.02,0.89
Silica,"Conductivity, Non-Linear Function (µS/cm)",0.24,0.05
Iron,"Conductivity, Non-Linear Function (µS/cm)",0.2,0.07
Ammonia,"Conductivity, Non-Linear Function (µS/cm)",0.62,0.58
pH (Nutrients),"Conductivity, Non-Linear Function (µS/cm)",-0.38,0
Temperature (ºF),"Conductivity, Non-Linear Function (µS/cm)",-0.01,0.93
Temperature (ºC),"Conductivity, Non-Linear Function (µS/cm)",-0.01,0.92
pH (mV),"Conductivity, Non-Linear Function (µS/cm)",-0.43,0
Salinity (PSU),"Conductivity, Non-Linear Function (µS/cm)",0.84,0
Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)",0.95,0
Turbidity,"Conductivity, Specific (µS/cm)",-0,0.97
Phosphate,"Conductivity, Specific (µS/cm)",-0.11,0.32
Nitrate MR,"Conductivity, Specific (µS/cm)",-0.37,0
Nitrate HR,"Conductivity, Specific (µS/cm)",-0.07,0.55
Alkalinity,"Conductivity, Specific (µS/cm)",-0.02,0.89
Silica,"Conductivity, Specific (µS/cm)",0.25,0.04
Iron,"Conductivity, Specific (µS/cm)",0.19,0.09
Ammonia,"Conductivity, Specific (µS/cm)",0.66,0.54
pH (Nutrients),"Conductivity, Specific (µS/cm)",-0.38,0
Temperature (ºF),"Conductivity, Specific (µS/cm)",-0.02,0.89
Temperature (ºC),"Conductivity, Specific (µS/cm)",-0.02,0.87
pH (mV),"Conductivity, Specific (µS/cm)",-0.42,0
Salinity (PSU),"Conductivity, Specific (µS/cm)",0.83,0
Conductivity (µS/cm),"Conductivity, Specific (µS/cm)",0.96,0
"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",1,0
Turbidity,Dissolved Oxygen (mg/L),0.01,0.92
Phosphate,Dissolved Oxygen (mg/L),0.32,0
Nitrate MR,Dissolved Oxygen (mg/L),0.13,0.25
Nitrate HR,Dissolved Oxygen (mg/L),-0.05,0.64
Alkalinity,Dissolved Oxygen (mg/L),0.08,0.46
Silica,Dissolved Oxygen (mg/L),-0.04,0.77
Iron,Dissolved Oxygen (mg/L),0.06,0.6
Ammonia,Dissolved Oxygen (mg/L),-0.6,0.59
pH (Nutrients),Dissolved Oxygen (mg/L),0.32,0
Temperature (ºF),Dissolved Oxygen (mg/L),0.11,0.34
Temperature (ºC),Dissolved Oxygen (mg/L),0.11,0.34
pH (mV),Dissolved Oxygen (mg/L),-0,0.97
Salinity (PSU),Dissolved Oxygen (mg/L),-0.16,0.3
Conductivity (µS/cm),Dissolved Oxygen (mg/L),-0.33,0.01
"Conductivity, Non-Linear Function (µS/cm)",Dissolved Oxygen (mg/L),-0.24,0.03
"Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),-0.25,0.02
Turbidity,"Dissolved Oxygen, Saturated (%)",0.03,0.64
Phosphate,"Dissolved Oxygen, Saturated (%)",-0.07,0.32
Nitrate MR,"Dissolved Oxygen, Saturated (%)",-0.44,0
Nitrate HR,"Dissolved Oxygen, Saturated (%)",-0.28,0
Alkalinity,"Dissolved Oxygen, Saturated (%)",0.12,0.09
Silica,"Dissolved Oxygen, Saturated (%)",0.26,0
Iron,"Dissolved Oxygen, Saturated (%)",0.13,0.07
