row,column,cor_coeff,p_value
Phosphate,Nitrate MR,0.35,0
Phosphate,Nitrate HR,0.22,0
Nitrate MR,Nitrate HR,0.59,0
Phosphate,Silica,0.34,0
Nitrate MR,Iron,0.13,0.05
Phosphate,pH (Nutrients),-0.31,0
Nitrate MR,pH (Nutrients),-0.23,0
Nitrate HR,pH (Nutrients),-0.14,0.04
Silica,pH (Nutrients),-0.31,0
Iron,pH (Nutrients),-0.14,0.04
Phosphate,Temperature (ºF),0.34,0
Nitrate MR,Temperature (ºF),0.34,0
Silica,Temperature (ºF),0.66,0
pH (Nutrients),Temperature (ºF),-0.28,0
Phosphate,Temperature (ºC),0.28,0
Nitrate MR,Temperature (ºC),0.35,0
Silica,Temperature (ºC),0.37,0
pH (Nutrients),Temperature (ºC),-0.29,0
Temperature (ºF),Temperature (ºC),1,0
Alkalinity,pH (mV),0.4,0
Temperature (ºF),pH (mV),-0.31,0
Temperature (ºC),pH (mV),-0.31,0.01
Phosphate,Salinity (PSU),-0.24,0
Nitrate MR,Salinity (PSU),-0.14,0.05
Nitrate HR,Salinity (PSU),-0.3,0
pH (Nutrients),Salinity (PSU),0.21,0.02
Temperature (ºF),Salinity (PSU),0.34,0
Temperature (ºC),Salinity (PSU),0.31,0
pH (mV),Salinity (PSU),-0.51,0
Nitrate HR,Conductivity (µS/cm),-0.19,0.01
Silica,Conductivity (µS/cm),0.17,0.04
Temperature (ºF),Conductivity (µS/cm),0.82,0
Temperature (ºC),Conductivity (µS/cm),0.77,0
Salinity (PSU),Conductivity (µS/cm),0.85,0
Nitrate MR,"Conductivity, Non-Linear Function (µS/cm)",-0.37,0
Silica,"Conductivity, Non-Linear Function (µS/cm)",0.24,0.05
pH (Nutrients),"Conductivity, Non-Linear Function (µS/cm)",-0.38,0
pH (mV),"Conductivity, Non-Linear Function (µS/cm)",-0.43,0
Salinity (PSU),"Conductivity, Non-Linear Function (µS/cm)",0.84,0
Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)",0.95,0
Nitrate MR,"Conductivity, Specific (µS/cm)",-0.37,0
Silica,"Conductivity, Specific (µS/cm)",0.25,0.04
pH (Nutrients),"Conductivity, Specific (µS/cm)",-0.38,0
pH (mV),"Conductivity, Specific (µS/cm)",-0.42,0
Salinity (PSU),"Conductivity, Specific (µS/cm)",0.83,0
Conductivity (µS/cm),"Conductivity, Specific (µS/cm)",0.96,0
"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",1,0
Phosphate,Dissolved Oxygen (mg/L),0.32,0
pH (Nutrients),Dissolved Oxygen (mg/L),0.32,0
Conductivity (µS/cm),Dissolved Oxygen (mg/L),-0.33,0.01
"Conductivity, Non-Linear Function (µS/cm)",Dissolved Oxygen (mg/L),-0.24,0.03
"Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),-0.25,0.02
Nitrate MR,"Dissolved Oxygen, Saturated (%)",-0.44,0
Nitrate HR,"Dissolved Oxygen, Saturated (%)",-0.28,0
Silica,"Dissolved Oxygen, Saturated (%)",0.26,0
pH (Nutrients),"Dissolved Oxygen, Saturated (%)",0.21,0
Temperature (ºC),"Dissolved Oxygen, Saturated (%)",-0.25,0
Conductivity (µS/cm),"Dissolved Oxygen, Saturated (%)",-0.21,0
Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)",0.85,0
Phosphate,"Dissolved Oxygen, Local (%)",0.37,0
pH (Nutrients),"Dissolved Oxygen, Local (%)",0.27,0.01
Dissolved Oxygen (mg/L),"Dissolved Oxygen, Local (%)",0.92,0
"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",0.83,0
Phosphate,Oxygen Reduction Potential (mV),-0.46,0
Nitrate MR,Oxygen Reduction Potential (mV),-0.25,0
Silica,Oxygen Reduction Potential (mV),-0.75,0
Iron,Oxygen Reduction Potential (mV),-0.27,0
pH (Nutrients),Oxygen Reduction Potential (mV),0.67,0
Temperature (ºF),Oxygen Reduction Potential (mV),-0.58,0
