Date,Ocean,Region,Location,Depth (m),Temperature (ºC),Salinity (PSU),Phosphate (mg/L),Silicate (mg/L),Nitrate (mg/L),pH,Chlorophyll (µg/L),Alkalinity (mg/L),Dissolved Organic Carbon (µmol/kg),Iron (mg/L),Latitude,Longitude
2011-12-24,Pacific,North Philippine Sea,Northern Mariana Islands,15,27.9801,34.6823,6.658557029999999e-9,3.0412979999999996e-8,2.2244257875e-9,8.1296,0.062,239.89145817500005,NA,NA,15.18107,145.84822
2011-12-28,Pacific,North Philippine Sea,Northern Mariana Islands,10,28.637,33.8799,8.1771753e-9,7.018379999999999e-8,6.35550225e-9,8.1333,0.04,234.52588349999996,NA,NA,15.18107,145.84822
2011-12-31,Pacific,North Philippine Sea,Northern Mariana Islands,15,29.5197,34.3094,1.4796793399999999e-8,4.8348839999999994e-8,4.1310764625e-9,8.1266,0.093,237.41898494999998,NA,NA,15.18107,145.84822
2015-04-11,Pacific,French Polynesia,Near Huahine,15,29.1751,35.8356,8.761259249999999e-9,5.458739999999999e-8,0,8.1191,0.065,248.3142819,NA,NA,-16.7329,-151.01109
2015-04-12,Pacific,French Polynesia,Near Huahine,0,29.3963,35.4015,1.1681678999999999e-8,4.678919999999999e-8,0,8.1249,0.048,245.46221734999995,NA,NA,-16.7329,-151.01109
2015-04-13,Pacific,French Polynesia,Near Huahine,10,29.258,35.9272,8.761259249999999e-9,2.0275319999999997e-8,0,8.1222,0.0849,249.03242765,NA,NA,-16.7329,-151.01109
2022-05-01,Pacific,North Philippine Sea,Northern Mariana Islands,0,27.882,34.5916,2.9204197499999996e-9,2.3394599999999994e-8,0,8.0897,0.0135,238.99890559999997,NA,NA,15.18107,145.84822
2008-04-07,Pacific,Pacific Remote Islands Area,Kingman Reef,21.95,NA,34.8508,NA,NA,NA,NA,NA,232.63818609999996,1976.3,NA,6.38401,-162.41667
2008-04-06,Pacific,Pacific Remote Islands Area,Kingman Reef,8.9,NA,34.8891,NA,NA,NA,NA,NA,232.935703625,1978.3,NA,6.38401,-162.41667
2006-02-28,Pacific,American Samoa,Ofu and Olosega Islands,1,NA,34.708,NA,NA,NA,NA,NA,233.0485551,1920.8,NA,-14.17662,-169.63896
2008-04-05,Pacific,Pacific Remote Islands Area,Kingman Reef,1,NA,34.8662,NA,NA,NA,NA,NA,233.06907355,1993.9,NA,6.38401,-162.41667
2006-02-28,Pacific,American Samoa,Ofu and Olosega Islands,30,NA,34.727,NA,NA,NA,NA,NA,233.34607262499998,1922.9,NA,-14.17662,-169.63896
2008-04-07,Pacific,Pacific Remote Islands Area,Kingman Reef,17.4,NA,34.86,NA,NA,NA,NA,NA,234.1155145,1981.2,NA,6.38401,-162.41667
2015-03-28,Pacific,American Samoa,Tutuila,14,NA,NA,NA,NA,NA,NA,NA,234.125773725,1952.5,NA,-14.29665,-170.72425
2008-10-09,Pacific,Hawaiian Archipelago,French Frigate Shoals,9.1,NA,35.381,NA,NA,NA,NA,NA,234.20784752499998,1978.4,NA,23.75046,-166.14594
2008-10-09,Pacific,Hawaiian Archipelago,French Frigate Shoals,9.1,NA,35.3563,NA,NA,NA,NA,NA,234.27966209999994,1978.8,NA,23.75046,-166.14594
2008-04-06,Pacific,Pacific Remote Islands Area,Kingman Reef,0.3,NA,34.8569,NA,NA,NA,NA,NA,234.66951265000003,1984.6,NA,6.38401,-162.41667
2008-04-08,Pacific,Pacific Remote Islands Area,Kingman Reef,9.45,NA,34.857,NA,NA,NA,NA,NA,234.731068,1985.2,NA,6.38401,-162.41667
2013-08-11,Pacific,Hawaiian Archipelago,Molokai,13.7,NA,34.997,NA,NA,NA,NA,NA,234.757741985,1987.103224,NA,21.13598,-157.10221
2013-08-07,Pacific,Hawaiian Archipelago,Hawai'i (Big Island),13.7,NA,34.547,NA,NA,NA,NA,NA,235.28814391749995,1995.458535,NA,19.3974,-155.66616
2013-08-11,Pacific,Hawaiian Archipelago,Molokai,13.1,NA,34.757,NA,NA,NA,NA,NA,235.42048791999997,2010.166895,NA,21.13598,-157.10221
2008-03-14,Pacific,American Samoa,Rose Atoll,7.9,NA,35.0264,NA,NA,NA,NA,NA,235.72621282499998,1943.9,NA,-14.54176,-168.15616
2013-08-09,Pacific,Hawaiian Archipelago,Maui,0.9,NA,34.943,NA,NA,NA,NA,NA,235.75288680999998,2000.30676,NA,20.74914,-156.15505
2013-08-09,Pacific,Hawaiian Archipelago,Maui,14.6,NA,35.066,NA,NA,NA,NA,NA,237.53799196000003,2012.789287,NA,20.74914,-156.15505
2013-08-17,Pacific,Hawaiian Archipelago,Niihau,0.9,NA,35.1,NA,NA,NA,NA,NA,237.765746755,1996.842058,NA,21.90727,-160.14937
2017-04-11,Pacific,Pacific Remote Islands Area,Baker Island,13.7,28.0449,35.0631,NA,NA,NA,7.846323485,NA,229.693788525,2026.2,NA,0.19575,-176.47938
2018-07-31,Pacific,Pacific Remote Islands Area,Jarvis Island,1,28.13995,35.128,NA,NA,NA,7.939392821,NA,236.362284775,2036.9,NA,-0.37641,-159.99755
2017-04-05,Pacific,Pacific Remote Islands Area,Jarvis Island,0.9,26.9162,35.1347,NA,NA,NA,7.946335172,NA,236.41358089999997,2043.5,NA,-0.37641,-159.99755
2017-04-10,Pacific,Pacific Remote Islands Area,Baker Island,14,27.9158,35.0611,NA,NA,NA,7.955944912,NA,236.71109842500002,2032.8,NA,0.19575,-176.47938
2017-04-12,Pacific,Pacific Remote Islands Area,Howland Island,13.7,27.9577,35.051,NA,NA,NA,7.962120862,NA,236.608506175,2028.1,NA,0.80872,-176.61571
2017-04-11,Pacific,Pacific Remote Islands Area,Howland Island,13.7,27.7184,35.061,NA,NA,NA,7.964189576,NA,235.72621282499998,2021,NA,0.80872,-176.61571
2017-04-12,Pacific,Pacific Remote Islands Area,Howland Island,14,27.9477,35.0581,NA,NA,NA,7.96441216,NA,236.39306244999995,2024.9,NA,0.80872,-176.61571
2017-04-03,Pacific,Pacific Remote Islands Area,Jarvis Island,8.8,26.8178,35.1031,NA,NA,NA,7.968689193,NA,236.85472757499997,2035.9,NA,-0.37641,-159.99755
2017-04-05,Pacific,Pacific Remote Islands Area,Jarvis Island,15.2,26.9162,35.1347,NA,NA,NA,7.96887089,NA,238.12687147499997,2046,NA,-0.37641,-159.99755
2018-07-30,Pacific,Pacific Remote Islands Area,Jarvis Island,1,28.133475,35.252875,NA,NA,NA,7.974163505,NA,237.75753937500002,2028.7,NA,-0.37641,-159.99755
2017-04-11,Pacific,Pacific Remote Islands Area,Baker Island,0.9,28.1105,35.0711,NA,NA,NA,7.975125928,NA,236.63928385000003,2019.7,NA,0.19575,-176.47938
2018-07-30,Pacific,Pacific Remote Islands Area,Jarvis Island,1,28.14035,35.261,NA,NA,NA,7.975619144,NA,237.91142775,2029.1,NA,-0.37641,-159.99755
2017-04-11,Pacific,Pacific Remote Islands Area,Howland Island,0.9,27.7184,35.061,NA,NA,NA,7.978196416,NA,236.013471125,2015.8,NA,0.80872,-176.61571
2017-04-11,Pacific,Pacific Remote Islands Area,Baker Island,0.9,28.0449,35.0631,NA,NA,NA,7.980844553,NA,235.13117777499997,2003.6,NA,0.19575,-176.47938
2017-04-12,Pacific,Pacific Remote Islands Area,Howland Island,0.9,28.1011,35.0314,NA,NA,NA,7.983467034,NA,236.53669159999998,2014.3,NA,0.80872,-176.61571
2017-04-12,Pacific,Pacific Remote Islands Area,Howland Island,0.9,27.9477,35.0581,NA,NA,NA,7.984799307,NA,236.608506175,2015.3,NA,0.80872,-176.61571
2017-04-10,Pacific,Pacific Remote Islands Area,Baker Island,0.9,27.9158,35.0611,NA,NA,NA,7.986722287,NA,234.228365975,1993.3,NA,0.19575,-176.47938
2017-04-12,Pacific,Pacific Remote Islands Area,Howland Island,0.9,27.9577,35.051,NA,NA,NA,7.997707709,NA,236.23917407499994,2004.4,NA,0.80872,-176.61571
2017-05-02,Pacific,Guam and Marianas Islands,Guam,12.8,29.1359,34.1797,NA,NA,NA,8.013788757,NA,228.33957082499998,1921,NA,13.4506,144.76817
2017-06-06,Pacific,Guam and Marianas Islands,Asuncion Island,12.5,30.1903,34.718,NA,NA,NA,8.015889284,NA,234.20784752499998,1957.6,NA,19.69003,145.40804
2017-06-05,Pacific,Guam and Marianas Islands,Asuncion Island,10.1,29.919,34.733,NA,NA,NA,8.01935737,NA,234.50536505000002,1960.5,NA,19.69003,145.40804
2017-06-07,Pacific,Guam and Marianas Islands,Asuncion Island,11.6,30.4598,34.6302,NA,NA,NA,8.019941547,NA,233.99240380000003,1951.4,NA,19.69003,145.40804
2017-06-06,Pacific,Guam and Marianas Islands,Asuncion Island,14,29.9032,34.7113,NA,NA,NA,8.020019981,NA,234.02318147499994,1956.1,NA,19.69003,145.40804
2017-06-06,Pacific,Guam and Marianas Islands,Asuncion Island,13.7,30.4049,34.7413,NA,NA,NA,8.021107104,NA,233.95136689999998,1949.9,NA,19.69003,145.40804
2018-08-06,Pacific,Pacific Remote Islands Area,Palmyra Atoll,1,29.970475,34.256825,NA,NA,NA,8.021580154,NA,231.027487775,1932.1,NA,5.88248,-162.07633
2018-08-03,Pacific,Pacific Remote Islands Area,Palmyra Atoll,1,29.6869,34.2762,NA,NA,NA,8.028216324,NA,231.21215382499997,1932.1,NA,5.88248,-162.07633
2018-08-04,Pacific,Pacific Remote Islands Area,Palmyra Atoll,1,29.624325,34.5094,NA,NA,NA,8.031870975,NA,232.91518517499998,1943.5,NA,5.88248,-162.07633
2018-08-07,Pacific,Pacific Remote Islands Area,Palmyra Atoll,1,29.517125,34.255425,NA,NA,NA,8.033146515,NA,231.10956157499993,1929.9,NA,5.88248,-162.07633
2017-05-05,Pacific,Guam and Marianas Islands,Guam,6.1,29.3131,34.1367,NA,NA,NA,8.036446179,NA,229.673270075,1918,NA,13.4506,144.76817
2018-08-10,Pacific,Pacific Remote Islands Area,Kingman Reef,1,29.484775,34.246875,NA,NA,NA,8.037560769,NA,231.26344994999997,1928.9,NA,6.38401,-162.41667
2018-08-09,Pacific,Pacific Remote Islands Area,Kingman Reef,1,29.561775,34.14965,NA,NA,NA,8.037600263,NA,230.2990828,1920.5,NA,6.38401,-162.41667
2017-05-04,Pacific,Guam and Marianas Islands,Guam,13.1,29.2533,34.1812,NA,NA,NA,8.040121273,NA,229.6835293,1915.9,NA,13.4506,144.76817
2017-05-04,Pacific,Guam and Marianas Islands,Guam,0.9,29.373,34.1627,NA,NA,NA,8.040997188,NA,230.247786675,1919.6,NA,13.4506,144.76817
2017-05-19,Pacific,Guam and Marianas Islands,Tinian,15.8,29.2916,34.2513,NA,NA,NA,8.0468498,NA,232.75103757499997,1937.6,NA,15.00491,145.63421
2017-04-20,Pacific,Pacific Remote Islands Area,Wake Atoll,13.4,27.9041,34.682,NA,NA,NA,8.050094463,NA,236.31098864999998,1976.3,NA,19.29377,166.63213
2017-05-04,Pacific,Guam and Marianas Islands,Guam,0.9,29.2533,34.1812,NA,NA,NA,8.05052687,NA,227.77531344999997,1893.1,NA,13.4506,144.76817
2017-04-22,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.9412,34.7257,NA,NA,NA,8.052013971,NA,234.77210489999996,1961.2,NA,19.29377,166.63213
2017-04-20,Pacific,Pacific Remote Islands Area,Wake Atoll,13.4,27.3067,34.9234,NA,NA,NA,8.053547306,NA,235.82880507499996,1973.6,NA,19.29377,166.63213
2017-04-19,Pacific,Pacific Remote Islands Area,Wake Atoll,12.8,27.351,35.0193,NA,NA,NA,8.053712458,NA,235.57232444999994,1970.1,NA,19.29377,166.63213
2017-04-21,Pacific,Pacific Remote Islands Area,Wake Atoll,14.6,27.4102,34.9724,NA,NA,NA,8.054691226,NA,235.644139025,1969.9,NA,19.29377,166.63213
2017-05-05,Pacific,Guam and Marianas Islands,Guam,13.1,29.4079,34.1495,NA,NA,NA,8.054909194,NA,230.17597209999997,1909.9,NA,13.4506,144.76817
2017-04-22,Pacific,Pacific Remote Islands Area,Wake Atoll,13.7,27.5445,35.0263,NA,NA,NA,8.055430249,NA,235.72621282499998,1968.5,NA,19.29377,166.63213
2017-04-19,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.6247,34.819,NA,NA,NA,8.055574018,NA,235.18247390000002,1964.8,NA,19.29377,166.63213
2017-04-21,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.4102,34.9724,NA,NA,NA,8.055985847,NA,236.033989575,1972.8,NA,19.29377,166.63213
2017-04-21,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.2872,35.0352,NA,NA,NA,8.056019349,NA,236.68032074999996,1979.1,NA,19.29377,166.63213
