row,column,cor_coeff,p_value
Temperature (ºF),Temperature (ºC),1,0
Temperature (ºF),pH,-0.59,0
Temperature (ºC),pH,-0.15,0
Temperature (ºF),pH (mV),-0.25,0
Temperature (ºC),pH (mV),-0.25,0
pH,pH (mV),-0.26,0
Temperature (ºF),Salinity (PSU),0.41,0
Temperature (ºC),Salinity (PSU),0.26,0
pH,Salinity (PSU),0.15,0
pH (mV),Salinity (PSU),-0.45,0
Temperature (ºF),Conductivity (µS/cm),0.66,0
Temperature (ºC),Conductivity (µS/cm),0.75,0
pH,Conductivity (µS/cm),0.07,0
pH (mV),Conductivity (µS/cm),-0.13,0
Salinity (PSU),Conductivity (µS/cm),0.83,0
Temperature (ºF),"Conductivity, Non-Linear Function (µS/cm)",-0.03,0
Temperature (ºC),"Conductivity, Non-Linear Function (µS/cm)",-0.02,0
pH,"Conductivity, Non-Linear Function (µS/cm)",-0.05,0
pH (mV),"Conductivity, Non-Linear Function (µS/cm)",-0.4,0
Salinity (PSU),"Conductivity, Non-Linear Function (µS/cm)",0.78,0
Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)",0.93,0
Temperature (ºF),"Conductivity, Specific (µS/cm)",-0,0.49
Temperature (ºC),"Conductivity, Specific (µS/cm)",0,0.93
pH,"Conductivity, Specific (µS/cm)",-0.01,0
pH (mV),"Conductivity, Specific (µS/cm)",-0.41,0
Salinity (PSU),"Conductivity, Specific (µS/cm)",0.74,0
Conductivity (µS/cm),"Conductivity, Specific (µS/cm)",0.94,0
"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",0.98,0
Temperature (ºF),Dissolved Oxygen (mg/L),0.1,0
Temperature (ºC),Dissolved Oxygen (mg/L),0.09,0
pH,Dissolved Oxygen (mg/L),0.17,0
pH (mV),Dissolved Oxygen (mg/L),-0.09,0
Salinity (PSU),Dissolved Oxygen (mg/L),-0.05,0
Conductivity (µS/cm),Dissolved Oxygen (mg/L),-0,0.93
"Conductivity, Non-Linear Function (µS/cm)",Dissolved Oxygen (mg/L),-0.08,0
"Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),-0.07,0
Temperature (ºF),"Dissolved Oxygen, Saturated (%)",0.1,0
Temperature (ºC),"Dissolved Oxygen, Saturated (%)",-0.14,0
pH,"Dissolved Oxygen, Saturated (%)",0.22,0
pH (mV),"Dissolved Oxygen, Saturated (%)",-0.12,0
Salinity (PSU),"Dissolved Oxygen, Saturated (%)",-0.04,0
Conductivity (µS/cm),"Dissolved Oxygen, Saturated (%)",-0.11,0
"Conductivity, Non-Linear Function (µS/cm)","Dissolved Oxygen, Saturated (%)",-0.01,0.21
"Conductivity, Specific (µS/cm)","Dissolved Oxygen, Saturated (%)",-0,0.71
