date,Location,nutrient,mean,median,std,IQR,min,max
2017-12,Ocean,Turbidity,0,0,0,0,0,0
2017-12,Ocean,Phosphate,0.05,0.05,0.01,0,0.04,0.06
2017-12,Ocean,Nitrate MR,0.88,0.9,0.13,0.2,0.7,1
2017-12,Ocean,Nitrate HR,1.48,1.5,0.15,0.1,1.3,1.7
2017-12,Ocean,pH,NA,NA,NA,NA,NA,NA
2017-12,Ocean,Alkalinity,NA,NA,NA,NA,NA,NA
2017-12,Ocean,Silica,NA,NA,NA,NA,NA,NA
2017-12,Ocean,Iron,NA,NA,NA,NA,NA,NA
2017-12,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2018-01,Ocean,Turbidity,0.6,0,1.34,0,0,3
2018-01,Ocean,Phosphate,0.08,0.08,0.03,0.03,0.05,0.12
2018-01,Ocean,Nitrate MR,1.1,1.1,0.1,0.2,1,1.2
2018-01,Ocean,Nitrate HR,1.94,1.9,0.36,0.2,1.5,2.5
2018-01,Ocean,pH,NA,NA,NA,NA,NA,NA
2018-01,Ocean,Alkalinity,NA,NA,NA,NA,NA,NA
2018-01,Ocean,Silica,NA,NA,NA,NA,NA,NA
2018-01,Ocean,Iron,NA,NA,NA,NA,NA,NA
2018-01,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2018-02,Ocean,Turbidity,0,0,0,0,0,0
2018-02,Ocean,Phosphate,0.1,0.06,0.08,0.08,0.05,0.2
2018-02,Ocean,Nitrate MR,0.83,0.8,0.15,0.15,0.7,1
2018-02,Ocean,Nitrate HR,1.53,1.4,0.23,0.2,1.4,1.8
2018-02,Ocean,pH,NA,NA,NA,NA,NA,NA
2018-02,Ocean,Alkalinity,NA,NA,NA,NA,NA,NA
2018-02,Ocean,Silica,NA,NA,NA,NA,NA,NA
2018-02,Ocean,Iron,NA,NA,NA,NA,NA,NA
2018-02,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2018-03,Ocean,Turbidity,0,0,0,0,0,0
2018-03,Ocean,Phosphate,0.11,0.11,0.01,0.01,0.1,0.12
2018-03,Ocean,Nitrate MR,0.86,0.9,0.11,0.1,0.7,1
2018-03,Ocean,Nitrate HR,1.36,1.3,0.34,0.5,1,1.8
2018-03,Ocean,pH,NA,NA,NA,NA,NA,NA
2018-03,Ocean,Alkalinity,NA,NA,NA,NA,NA,NA
2018-03,Ocean,Silica,NA,NA,NA,NA,NA,NA
2018-03,Ocean,Iron,NA,NA,NA,NA,NA,NA
2018-03,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2018-04,Ocean,Turbidity,0.75,0.5,0.96,1.25,0,2
2018-04,Ocean,Phosphate,0.13,0.12,0.07,0.05,0.06,0.22
