year,month,day,variable,mean,median,std,IQR,min,max
2011,July,22,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2011,July,22,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2011,July,22,conductivity_uScm,45472.97,45500,45.02,100,45400,45500
2011,July,22,do_local_percent,NA,NA,NA,NA,NA,NA
2011,July,22,do_mgL,NA,NA,NA,NA,NA,NA
2011,July,22,do_saturated_percent,NA,NA,NA,NA,NA,NA
2011,July,22,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,July,22,orp_mV,257.94,258,1.61,1.75,253,260
2011,July,22,pH,8.5,8.5,0,0,8.5,8.5
2011,July,22,pH_mV,NA,NA,NA,NA,NA,NA
2011,July,22,salinity_psu,29.7,29.7,0,0,29.7,29.7
2011,July,22,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,July,22,temp_c,24.58,24.6,0.04,0,24.5,24.6
2011,July,22,temp_f,76.19,76.16,0.06,0.11,76.1,76.27
2011,July,22,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2011,July,22,total_algae_rfu,NA,NA,NA,NA,NA,NA
2011,July,22,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2011,July,23,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2011,July,23,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2011,July,23,conductivity_uScm,45529.17,45500,136.05,300,45400,45700
2011,July,23,do_local_percent,NA,NA,NA,NA,NA,NA
2011,July,23,do_mgL,NA,NA,NA,NA,NA,NA
2011,July,23,do_saturated_percent,NA,NA,NA,NA,NA,NA
2011,July,23,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,July,23,orp_mV,262.92,264,2.85,5,258,269
2011,July,23,pH,8.5,8.5,0,0,8.5,8.5
2011,July,23,pH_mV,NA,NA,NA,NA,NA,NA
2011,July,23,salinity_psu,29.7,29.7,0.01,0,29.6,29.7
2011,July,23,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,July,23,temp_c,24.63,24.6,0.14,0.3,24.5,24.8
2011,July,23,temp_f,76.3,76.21,0.24,0.45,75.99,76.61
2011,July,23,total_algae_cellsL,NA,NA,NA,NA,NA,NA
