year,month,variable,mean,median,std,IQR,min,max
2011,July,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2011,July,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2011,July,conductivity_uScm,45731.74,45700,211.59,400,45400,46200
2011,July,do_local_percent,NA,NA,NA,NA,NA,NA
2011,July,do_mgL,NA,NA,NA,NA,NA,NA
2011,July,do_saturated_percent,NA,NA,NA,NA,NA,NA
2011,July,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,July,orp_mV,273.25,275,7.41,12,253,285
2011,July,pH,8.5,8.5,0,0,8.5,8.5
2011,July,pH_mV,NA,NA,NA,NA,NA,NA
2011,July,salinity_psu,29.46,29.6,0.2,0.4,29.2,29.7
2011,July,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,July,temp_c,25.13,25,0.49,0.9,24.5,26
2011,July,temp_f,77.21,76.94,0.87,1.74,75.99,78.86
2011,July,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2011,July,total_algae_rfu,NA,NA,NA,NA,NA,NA
2011,July,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2011,August,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2011,August,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2011,August,conductivity_uScm,46179.52,46100,440.66,700,45500,47100
2011,August,do_local_percent,NA,NA,NA,NA,NA,NA
2011,August,do_mgL,NA,NA,NA,NA,NA,NA
2011,August,do_saturated_percent,NA,NA,NA,NA,NA,NA
2011,August,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,August,orp_mV,283.76,284,9.73,15,253,312
2011,August,pH,8.52,8.5,0.04,0,8.5,8.6
2011,August,pH_mV,NA,NA,NA,NA,NA,NA
2011,August,salinity_psu,29.14,29.1,0.07,0.1,29,29.3
2011,August,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,August,temp_c,26.15,26.1,0.41,0.6,25.5,27
2011,August,temp_f,79.01,78.86,0.74,1.01,77.73,80.66
2011,August,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2011,August,total_algae_rfu,NA,NA,NA,NA,NA,NA
2011,August,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2011,September,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2011,September,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2011,September,conductivity_uScm,45214.31,45300,368.57,700,44400,45900
2011,September,do_local_percent,NA,NA,NA,NA,NA,NA
2011,September,do_mgL,NA,NA,NA,NA,NA,NA
2011,September,do_saturated_percent,NA,NA,NA,NA,NA,NA
2011,September,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,September,orp_mV,300.41,301,2.85,4,292,306
2011,September,pH,8.6,8.6,0,0,8.6,8.6
2011,September,pH_mV,NA,NA,NA,NA,NA,NA
2011,September,salinity_psu,28.88,28.9,0.07,0.1,28.8,29
2011,September,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,September,temp_c,25.47,25.6,0.4,0.8,24.7,26
2011,September,temp_f,77.79,78.07,0.72,1.35,76.33,78.86
2011,September,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2011,September,total_algae_rfu,NA,NA,NA,NA,NA,NA
