variable,mean,median,std,IQR,min,max
temp_f,75.48,76.55,3.09,3.94,66.42,82.12
temp_c,24.26,24.9,1.49,1.49,20,27.6
pH,8.35,8.3,0.26,0.44,7.5,9
pH_mV,-96.92,-97.2,5.16,9.61,-107.49,-85.94
salinity_psu,29.37,30,4.31,9.07,21,35.47
conductivity_uScm,44812.17,45618.75,6251,12593.75,32500,53725
nlf_conductivity_uScm,50341.28,50354.58,536.05,637.37,49152.32,51873.89
sp_conductivity_uScm,50380.16,50375.67,543.4,622.89,49152.12,51894.84
do_mgL,6.27,6.23,0.2,0.32,5.54,7.12
do_saturated_percent,91.37,91.18,4.26,5.12,69.5,107.5
do_local_percent,104.82,104.2,3.35,5.29,94.11,114.86
orp_mV,506.35,704,271.86,538.88,106,844
chlorophyll_rfu,-0.27,-0.4,2.27,1.29,-4.05,15.53
chlorophyll_ugL,418.72,672,323.77,673.6,0,679.2
total_algae_rfu,-0.26,0,4.63,0,-15.1,63.18
total_algae_cellsL,150170.67,169907.19,54439.19,25.59,15.01,170982.39
total_dissolved_solids_mgL,32769.37,32769.48,373.92,427.85,32000.65,33791.89
