year,variable,mean,median,std,IQR,min,max
2011,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2011,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2011,conductivity_uScm,44677.21,45200,1447.08,2500,41300,47100
2011,do_local_percent,NA,NA,NA,NA,NA,NA
2011,do_mgL,NA,NA,NA,NA,NA,NA
2011,do_saturated_percent,NA,NA,NA,NA,NA,NA
2011,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,orp_mV,332.02,316,43.79,82,253,402
2011,pH,8.52,8.5,0.05,0.1,8.4,8.6
2011,pH_mV,NA,NA,NA,NA,NA,NA
2011,salinity_psu,28.25,28.8,1.06,2.1,26.4,29.7
2011,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2011,temp_c,25.85,25.9,0.49,0.6,24.5,27
2011,temp_f,78.54,78.58,0.89,1.07,75.99,80.66
2011,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2011,total_algae_rfu,NA,NA,NA,NA,NA,NA
2011,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2012,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2012,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2012,conductivity_uScm,41420.64,41900,1907.56,3000,34000,44000
2012,do_local_percent,NA,NA,NA,NA,NA,NA
2012,do_mgL,NA,NA,NA,NA,NA,NA
2012,do_saturated_percent,NA,NA,NA,NA,NA,NA
2012,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,orp_mV,329.33,349,52.29,92,241,415
2012,pH,8.71,8.7,0.1,0.2,8.5,8.9
2012,pH_mV,NA,NA,NA,NA,NA,NA
2012,salinity_psu,26.25,26.3,0.63,1.1,24,27.2
2012,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2012,temp_c,25.45,25.8,1.14,1.9,21.7,27.4
2012,temp_f,77.81,78.35,2.09,3.54,71.04,81.61
2012,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2012,total_algae_rfu,NA,NA,NA,NA,NA,NA
2012,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2013,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2013,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2013,conductivity_uScm,39491.98,38500,1679.4,3200,37300,42400
2013,do_local_percent,NA,NA,NA,NA,NA,NA
2013,do_mgL,NA,NA,NA,NA,NA,NA
2013,do_saturated_percent,NA,NA,NA,NA,NA,NA
2013,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,orp_mV,185.61,182,9.66,17,168,209
2013,pH,8.8,8.8,0.04,0,8.7,8.9
2013,pH_mV,NA,NA,NA,NA,NA,NA
2013,salinity_psu,25.23,25.2,0.36,0.7,24.6,25.8
2013,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2013,temp_c,24.77,23.9,1.53,3,22.7,27.6
2013,temp_f,76.63,75.09,2.85,5.62,72.89,82.12
2013,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2013,total_algae_rfu,NA,NA,NA,NA,NA,NA
2013,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2014,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2014,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2014,conductivity_uScm,37878.13,38000,1072.37,900,35600,40200
2014,do_local_percent,NA,NA,NA,NA,NA,NA
2014,do_mgL,NA,NA,NA,NA,NA,NA
2014,do_saturated_percent,NA,NA,NA,NA,NA,NA
2014,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2014,orp_mV,183.95,183,12.87,15,110,222
2014,pH,8.47,8.6,0.34,0.5,7.5,8.8
2014,pH_mV,NA,NA,NA,NA,NA,NA
2014,salinity_psu,24.26,24.3,0.27,0.3,23,24.9
2014,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2014,temp_c,24.45,24.6,1.24,1.5,20,26.7
2014,temp_f,76.06,76.38,2.12,2.76,71.43,80.21
2014,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2014,total_algae_rfu,NA,NA,NA,NA,NA,NA
2014,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2015,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2015,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2015,conductivity_uScm,36184.15,36000,1622.28,1900,32500,39700
2015,do_local_percent,NA,NA,NA,NA,NA,NA
2015,do_mgL,NA,NA,NA,NA,NA,NA
2015,do_saturated_percent,NA,NA,NA,NA,NA,NA
2015,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2015,orp_mV,166.28,167,21.37,19,116,241
2015,pH,8.26,8.3,0.08,0.1,7.5,8.4
2015,pH_mV,NA,NA,NA,NA,NA,NA
2015,salinity_psu,23.7,24.3,1.18,0.5,21,24.8
2015,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2015,temp_c,23.39,22.7,1.95,3.7,20.2,27.1
2015,temp_f,73.96,73.01,3.23,5.06,68.34,80.26
2015,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2015,total_algae_rfu,NA,NA,NA,NA,NA,NA
2015,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2016,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2016,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2016,conductivity_uScm,36806.62,37700,2361.82,4200,32500,42000
2016,do_local_percent,NA,NA,NA,NA,NA,NA
2016,do_mgL,NA,NA,NA,NA,NA,NA
2016,do_saturated_percent,NA,NA,NA,NA,NA,NA
2016,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2016,orp_mV,330.83,148,266.8,531,106,792
2016,pH,8.13,8.1,0.15,0.2,7.5,8.3
2016,pH_mV,NA,NA,NA,NA,NA,NA
2016,salinity_psu,24.06,24.7,1.12,1.8,22,26
2016,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2016,temp_c,23.67,23.7,1.47,1.6,20,27.3
2016,temp_f,74.72,74.75,3.25,3.66,66.42,80.54
2016,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2016,total_algae_rfu,NA,NA,NA,NA,NA,NA
2016,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2017,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2017,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2017,conductivity_uScm,40313.26,41300,4028.56,7800,33500,47100
2017,do_local_percent,NA,NA,NA,NA,NA,NA
2017,do_mgL,NA,NA,NA,NA,NA,NA
2017,do_saturated_percent,NA,NA,NA,NA,NA,NA
2017,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2017,orp_mV,790.85,797,21.97,19,654,833
2017,pH,8.21,8.2,0.25,0.2,7.5,8.8
2017,pH_mV,NA,NA,NA,NA,NA,NA
2017,salinity_psu,27.15,27.4,2.33,4.4,23.3,31
2017,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2017,temp_c,22.53,22,1.74,3.4,20,25.8
2017,temp_f,72.41,71.43,3.19,6.24,66.71,78.8
2017,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2017,total_algae_rfu,NA,NA,NA,NA,NA,NA
2017,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2018,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2018,chlorophyll_ugL,8.19,0,21.61,6.39,0,154.6
2018,conductivity_uScm,47290.05,47100,1903.69,3343.75,43500,50700
2018,do_local_percent,NA,NA,NA,NA,NA,NA
2018,do_mgL,NA,NA,NA,NA,NA,NA
2018,do_saturated_percent,92.75,92,2.7,4.5,89,98.5
2018,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2018,orp_mV,777.91,781,24.03,33,624,828
2018,pH,8.56,8.6,0.22,0.46,8.09,9
