#,Date-Time (MST),Ch: 1 - Temperature   (°F),Ch: 1 - Temperature Max : Max (°F),Ch: 1 - Temperature Min : Min (°F),Ch: 1 - Temperature Avg : Avg (°F),Ch: 1 - Temperature Std Dev : Std Dev (°F),Ch: 2 - Millivolts   (mv),Ch: 2 - Millivolts Max : Max (mv),Ch: 2 - Millivolts Min : Min (mv),Ch: 2 - Millivolts Avg : Avg (mv),Ch: 2 - Millivolts Std Dev : Std Dev (mv),Ch: 3 - pH   (pH),Ch: 3 - pH Max : Max (pH),Ch: 3 - pH Min : Min (pH),Ch: 3 - pH Avg : Avg (pH),Ch: 3 - pH Std Dev : Std Dev (pH),Button Down,Host Connected,Button Up,Start pH Calibration,pH Calibration Values,pH Calibration Buffers,End pH Calibration,End of File
1,04/20/2023 16:00:00,71.02,71.02,71.02,71.02,0.06,-206.33,-206.33,-206.33,-206.33,0.00,10.69,10.69,10.69,10.69,0.00,,,,,,,,
2,04/20/2023 16:15:00,76.73,76.73,75.60,76.24,0.88,-91.92,-91.92,-95.66,-93.42,1.97,8.36,8.44,8.36,8.39,0.04,,,,,,,,
3,04/20/2023 16:30:00,76.82,76.86,76.82,76.86,0.00,-90.35,-90.35,-90.86,-90.53,0.28,8.33,8.34,8.33,8.33,0.01,,,,,,,,
4,04/20/2023 16:45:00,76.68,76.82,76.68,76.77,0.09,-89.39,-89.30,-89.57,-89.42,0.13,8.31,8.31,8.31,8.31,0.00,,,,,,,,
5,04/20/2023 17:00:00,76.51,76.68,76.51,76.59,0.13,-88.58,-88.38,-88.63,-88.52,0.13,8.29,8.30,8.29,8.29,0.00,,,,,,,,
6,04/20/2023 17:15:00,76.42,76.51,76.42,76.51,0.08,-88.02,-87.82,-88.02,-87.96,0.11,8.28,8.28,8.28,8.28,0.00,,,,,,,,
7,04/20/2023 17:30:00,76.37,76.46,76.37,76.46,0.07,-87.52,-87.22,-87.52,-87.36,0.14,8.27,8.27,8.27,8.27,0.00,,,,,,,,
8,04/20/2023 17:45:00,76.33,76.42,76.33,76.42,0.11,-86.91,-86.64,-86.91,-86.78,0.13,8.26,8.26,8.26,8.26,0.00,,,,,,,,
9,04/20/2023 18:00:00,76.37,76.42,76.37,76.37,0.02,-86.39,-86.10,-86.39,-86.27,0.14,8.25,8.25,8.25,8.25,0.00,,,,,,,,
10,04/20/2023 18:15:00,76.46,76.46,76.42,76.42,0.11,-85.88,-85.61,-85.88,-85.75,0.13,8.24,8.24,8.24,8.24,0.00,,,,,,,,
11,04/20/2023 18:30:00,76.51,76.51,76.51,76.51,0.02,-85.30,-85.07,-85.30,-85.19,0.11,8.23,8.23,8.22,8.23,0.00,,,,,,,,
12,04/20/2023 18:45:00,76.55,76.59,76.55,76.55,0.04,-84.78,-84.50,-84.78,-84.66,0.14,8.22,8.22,8.21,8.22,0.00,,,,,,,,
13,04/20/2023 19:00:00,76.55,76.59,76.55,76.59,0.00,-84.24,-83.97,-84.24,-84.11,0.13,8.21,8.21,8.20,8.21,0.00,,,,,,,,
14,04/20/2023 19:15:00,76.55,76.59,76.55,76.59,0.00,-83.75,-83.47,-83.75,-83.60,0.14,8.20,8.20,8.19,8.19,0.00,,,,,,,,
15,04/20/2023 19:30:00,76.55,76.59,76.55,76.59,0.00,-83.27,-82.97,-83.27,-83.11,0.14,8.19,8.19,8.18,8.19,0.00,,,,,,,,
16,04/20/2023 19:45:00,76.55,76.59,76.55,76.59,0.00,-82.77,-82.46,-82.77,-82.61,0.16,8.18,8.18,8.17,8.18,0.00,,,,,,,,
17,04/20/2023 20:00:00,76.51,76.55,76.51,76.55,0.04,-82.32,-81.99,-82.32,-82.14,0.16,8.17,8.17,8.16,8.17,0.00,,,,,,,,
18,04/20/2023 20:15:00,76.46,76.51,76.46,76.51,0.02,-81.88,-81.58,-81.88,-81.72,0.14,8.16,8.16,8.15,8.16,0.00,,,,,,,,
19,04/20/2023 20:30:00,76.42,76.51,76.42,76.51,0.08,-81.49,-81.14,-81.49,-81.30,0.17,8.15,8.15,8.15,8.15,0.00,,,,,,,,
20,04/20/2023 20:45:00,76.37,76.46,76.37,76.46,0.07,-81.13,-80.78,-81.13,-80.94,0.17,8.15,8.15,8.14,8.14,0.00,,,,,,,,
21,04/20/2023 21:00:00,76.33,76.37,76.33,76.37,0.02,-80.80,-80.46,-80.80,-80.61,0.17,8.14,8.14,8.13,8.14,0.00,,,,,,,,
22,04/20/2023 21:15:00,76.24,76.33,76.24,76.33,0.13,-80.49,-80.13,-80.49,-80.30,0.17,8.13,8.13,8.13,8.13,0.00,,,,,,,,
23,04/20/2023 21:30:00,76.15,76.24,76.15,76.24,0.09,-80.21,-79.85,-80.21,-79.99,0.19,8.13,8.13,8.12,8.12,0.00,,,,,,,,
24,04/20/2023 21:45:00,76.03,76.15,76.03,76.12,0.08,-79.92,-79.56,-79.92,-79.71,0.19,8.12,8.12,8.11,8.12,0.00,,,,,,,,
25,04/20/2023 22:00:00,75.94,76.06,75.94,76.03,0.10,-79.67,-79.31,-79.67,-79.46,0.19,8.12,8.12,8.11,8.11,0.00,,,,,,,,
26,04/20/2023 22:15:00,75.85,75.94,75.85,75.94,0.06,-79.47,-79.08,-79.47,-79.24,0.20,8.11,8.11,8.11,8.11,0.00,,,,,,,,
27,04/20/2023 22:30:00,75.78,75.85,75.78,75.85,0.09,-79.28,-78.86,-79.28,-79.03,0.22,8.11,8.11,8.10,8.10,0.00,,,,,,,,
28,04/20/2023 22:45:00,75.69,75.78,75.69,75.78,0.09,-79.10,-78.69,-79.10,-78.85,0.22,8.11,8.11,8.10,8.10,0.00,,,,,,,,
29,04/20/2023 23:00:00,75.60,75.69,75.60,75.69,0.12,-78.92,-78.52,-78.92,-78.67,0.22,8.10,8.10,8.09,8.10,0.00,,,,,,,,
30,04/20/2023 23:15:00,75.51,75.60,75.51,75.60,0.08,-78.80,-78.41,-78.80,-78.55,0.20,8.10,8.10,8.09,8.10,0.00,,,,,,,,
31,04/20/2023 23:30:00,75.47,75.54,75.47,75.54,0.07,-78.67,-78.22,-78.67,-78.39,0.23,8.10,8.10,8.09,8.09,0.00,,,,,,,,
32,04/20/2023 23:45:00,75.38,75.47,75.38,75.47,0.08,-78.58,-78.16,-78.58,-78.30,0.23,8.10,8.10,8.09,8.09,0.00,,,,,,,,
33,04/21/2023 00:00:00,75.33,75.42,75.33,75.42,0.07,-78.47,-78.03,-78.47,-78.19,0.23,8.09,8.09,8.09,8.09,0.00,,,,,,,,
34,04/21/2023 00:15:00,75.29,75.33,75.29,75.33,0.03,-78.36,-77.92,-78.36,-78.08,0.23,8.09,8.09,8.08,8.09,0.00,,,,,,,,
35,04/21/2023 00:30:00,75.20,75.29,75.20,75.29,0.07,-78.33,-77.86,-78.33,-78.02,0.27,8.09,8.09,8.08,8.09,0.01,,,,,,,,
36,04/21/2023 00:45:00,75.20,75.25,75.20,75.25,0.04,-78.14,-77.72,-78.14,-77.89,0.22,8.09,8.09,8.08,8.08,0.00,,,,,,,,
37,04/21/2023 01:00:00,75.16,75.20,75.16,75.20,0.03,-78.08,-77.64,-78.08,-77.80,0.23,8.09,8.09,8.08,8.08,0.00,,,,,,,,
38,04/21/2023 01:15:00,75.16,75.20,75.16,75.20,0.03,-78.05,-77.61,-78.05,-77.77,0.23,8.09,8.09,8.08,8.08,0.01,,,,,,,,
39,04/21/2023 01:30:00,75.11,75.16,75.11,75.16,0.01,-77.99,-77.56,-77.99,-77.71,0.23,8.09,8.09,8.08,8.08,0.00,,,,,,,,
40,04/21/2023 01:45:00,75.07,75.16,75.07,75.16,0.07,-77.91,-77.47,-77.91,-77.63,0.23,8.08,8.08,8.07,8.08,0.01,,,,,,,,
41,04/21/2023 02:00:00,75.07,75.11,75.07,75.11,0.06,-77.85,-77.38,-77.85,-77.53,0.27,8.08,8.08,8.07,8.08,0.01,,,,,,,,
42,04/21/2023 02:15:00,75.04,75.11,75.04,75.11,0.12,-77.78,-77.30,-77.78,-77.47,0.27,8.08,8.08,8.07,8.07,0.01,,,,,,,,
43,04/21/2023 02:30:00,75.04,75.07,75.04,75.07,0.03,-77.71,-77.25,-77.71,-77.41,0.25,8.08,8.08,8.07,8.07,0.01,,,,,,,,
44,04/21/2023 02:45:00,74.98,75.04,74.98,75.04,0.00,-77.63,-77.19,-77.63,-77.35,0.23,8.08,8.08,8.07,8.07,0.01,,,,,,,,
45,04/21/2023 03:00:00,74.95,75.04,74.95,75.04,0.06,-77.56,-77.11,-77.56,-77.27,0.25,8.08,8.08,8.07,8.07,0.01,,,,,,,,
