Time,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_Crabwalk_F,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_C,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_pH,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Salinity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Conductivity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_ORP,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_AlgaePE,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_AlgaePC,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Chlorophyll
7/11/16 8:30,79.1375,26.2,7.9,25.2,40.6,128,11,484,0
7/11/16 8:45,79.1938,26.2,7.9,25.2,40.6,128,16,458,0
7/11/16 9:00,79.1938,26.2,7.9,25.3,40.7,127,14,496,0
7/11/16 9:15,79.1938,26.2,7.9,25.3,40.8,128,18,368,0
7/11/16 9:30,79.25,26.2,7.9,25.3,40.8,128,18,473,0
7/11/16 9:45,79.25,24.2,7.8,0.8,1.6,132,5,66,0
7/11/16 10:00,79.25,26.3,7.9,25.4,40.8,133,4,163,0
7/11/16 10:15,79.25,26.3,7.9,25.4,40.8,129,3,165,0
7/11/16 10:30,79.3063,26.3,7.9,25.4,40.8,129,4,138,0
7/11/16 10:45,79.3063,26.3,7.9,25.4,40.8,129,3,245,0
7/11/16 11:00,79.3063,26.3,7.9,25.4,40.8,129,4,301,0
7/11/16 11:15,79.3625,26.3,7.9,25.4,40.9,129,4,277,0
7/11/16 11:30,79.3625,26.3,7.9,25.4,40.9,129,5,289,0
7/11/16 11:45,79.4188,26.3,7.9,25.4,40.9,129,3,303,0
7/11/16 12:00,79.4188,26.3,7.9,25.4,40.9,129,4,328,0
7/11/16 12:15,79.475,26.3,7.9,25.4,40.9,129,4,262,0
7/11/16 12:30,79.475,26.4,7.9,25.4,40.9,128,5,160,0
7/11/16 12:45,79.475,26.4,7.9,25.4,40.9,128,6,164,0
7/11/16 13:00,79.5313,26.4,7.9,25.4,40.9,129,5,157,0
7/11/16 13:15,79.5313,26.4,7.9,25.4,40.9,128,6,124,0
7/11/16 13:30,79.5313,26.4,7.9,25.4,40.9,128,5,342,0
7/11/16 13:45,79.5313,26.4,7.9,25.4,40.9,128,5,247,0
