Serial Number:20895591 --

"Date Time, GMT -0700","Temp, (*F)","mV","pH","Button Down","Button Up","Host Connect","Start Calibration","Calibration Values","Calibration Buffers","End Calibration","Cancel Calibration","EOF"
2021-09-21 14:00:00,77.75,-81.89,8.31, , , , , , , , , 
2021-09-21 14:15:00,77.57,-81.58,8.30, , , , , , , , , 
2021-09-21 14:30:00,77.49,-80.16,8.28, , , , , , , , , 
2021-09-21 14:45:00,77.49,-80.39,8.28, , , , , , , , , 
2021-09-21 15:00:00,77.49,-80.97,8.29, , , , , , , , , 
2021-09-21 15:15:00,77.49,-81.28,8.30, , , , , , , , , 
2021-09-21 15:30:00,77.49,-81.00,8.29, , , , , , , , , 
2021-09-21 15:45:00,77.44,-80.63,8.28, , , , , , , , , 
2021-09-21 16:00:00,77.40,-80.28,8.28, , , , , , , , , 
2021-09-21 16:15:00,77.36,-80.02,8.27, , , , , , , , , 
2021-09-21 16:30:00,77.31,-79.67,8.27, , , , , , , , , 
2021-09-21 16:45:00,77.31,-79.39,8.26, , , , , , , , , 
2021-09-21 17:00:00,77.27,-78.88,8.25, , , , , , , , , 
2021-09-21 17:15:00,77.27,-78.64,8.25, , , , , , , , , 
2021-09-21 17:30:00,77.27,-78.24,8.24, , , , , , , , , 
2021-09-21 17:45:00,77.23,-77.81,8.24, , , , , , , , , 
2021-09-21 18:00:00,77.23,-77.61,8.23, , , , , , , , , 
2021-09-21 18:15:00,77.23,-77.36,8.23, , , , , , , , , 
2021-09-21 18:30:00,77.23,-77.21,8.23, , , , , , , , , 
2021-09-21 18:45:00,77.18,-76.96,8.22, , , , , , , , , 
2021-09-21 19:00:00,77.18,-76.77,8.22, , , , , , , , , 
2021-09-21 19:15:00,77.18,-76.38,8.21, , , , , , , , , 
2021-09-21 19:30:00,77.18,-76.22,8.21, , , , , , , , , 
2021-09-21 19:45:00,77.14,-75.89,8.20, , , , , , , , , 
2021-09-21 20:00:00,77.14,-75.88,8.20, , , , , , , , , 
2021-09-21 20:15:00,77.14,-75.58,8.20, , , , , , , , , 
2021-09-21 20:30:00,77.09,-75.39,8.19, , , , , , , , , 
2021-09-21 20:45:00,77.09,-75.27,8.19, , , , , , , , , 
2021-09-21 21:00:00,77.09,-75.08,8.19, , , , , , , , , 
2021-09-21 21:15:00,77.09,-74.92,8.19, , , , , , , , , 
2021-09-21 21:30:00,77.09,-74.81,8.18, , , , , , , , , 
2021-09-21 21:45:00,77.09,-74.58,8.18, , , , , , , , , 
2021-09-21 22:00:00,77.05,-74.47,8.18, , , , , , , , , 
2021-09-21 22:15:00,77.05,-74.27,8.17, , , , , , , , , 
2021-09-21 22:30:00,77.05,-74.17,8.17, , , , , , , , , 
2021-09-21 22:45:00,77.05,-73.97,8.17, , , , , , , , , 
2021-09-21 23:00:00,77.01,-73.86,8.17, , , , , , , , , 
2021-09-21 23:15:00,77.01,-73.66,8.16, , , , , , , , , 
2021-09-21 23:30:00,77.01,-73.58,8.16, , , , , , , , , 
2021-09-21 23:45:00,76.96,-73.39,8.16, , , , , , , , , 
2021-09-22 00:00:00,76.96,-73.27,8.16, , , , , , , , , 
2021-09-22 00:15:00,76.96,-73.16,8.16, , , , , , , , , 
2021-09-22 00:30:00,76.96,-73.03,8.15, , , , , , , , , 
2021-09-22 00:45:00,76.96,-72.88,8.15, , , , , , , , , 
2021-09-22 01:00:00,76.92,-72.80,8.15, , , , , , , , , 
2021-09-22 01:15:00,76.92,-72.66,8.15, , , , , , , , , 
2021-09-22 01:30:00,76.92,-72.58,8.15, , , , , , , , , 
2021-09-22 01:45:00,76.92,-72.33,8.14, , , , , , , , , 
2021-09-22 02:00:00,76.88,-72.27,8.14, , , , , , , , , 
2021-09-22 02:15:00,76.92,-72.17,8.14, , , , , , , , , 
2021-09-22 02:30:00,76.88,-72.06,8.14, , , , , , , , , 
2021-09-22 02:45:00,76.88,-71.94,8.13, , , , , , , , , 
2021-09-22 03:00:00,76.88,-71.80,8.13, , , , , , , , , 
2021-09-22 03:15:00,76.88,-71.81,8.13, , , , , , , , , 
2021-09-22 03:30:00,76.88,-71.64,8.13, , , , , , , , , 
2021-09-22 03:45:00,76.83,-71.53,8.13, , , , , , , , , 
2021-09-22 04:00:00,76.88,-71.39,8.13, , , , , , , , , 
2021-09-22 04:15:00,76.83,-71.31,8.12, , , , , , , , , 
2021-09-22 04:30:00,76.83,-71.22,8.12, , , , , , , , , 
2021-09-22 04:45:00,76.83,-71.08,8.12, , , , , , , , , 
2021-09-22 05:00:00,76.79,-70.97,8.12, , , , , , , , , 
2021-09-22 05:15:00,76.83,-70.91,8.12, , , , , , , , , 
2021-09-22 05:30:00,76.83,-70.85,8.12, , , , , , , , , 
2021-09-22 05:45:00,76.83,-70.78,8.11, , , , , , , , , 
2021-09-22 06:00:00,76.79,-70.63,8.11, , , , , , , , , 
2021-09-22 06:15:00,76.79,-70.46,8.11, , , , , , , , , 
2021-09-22 06:30:00,76.79,-70.47,8.11, , , , , , , , , 
2021-09-22 06:45:00,76.79,-70.36,8.11, , , , , , , , , 
2021-09-22 07:00:00,76.79,-70.36,8.11, , , , , , , , , 
