datetime,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_Crabwalk_F,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_C,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_pH,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Salinity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Conductivity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_ORP
2011/07/22 14:45:00,76.1563,24.5,8.5,29.7,45.5,259
2011/07/22 15:00:00,76.2125,24.5,8.5,29.7,45.5,259
2011/07/22 15:15:00,76.1563,24.5,8.5,29.7,45.5,260
2011/07/22 15:30:00,76.1563,24.6,8.5,29.7,45.5,260
2011/07/22 15:45:00,76.2125,24.6,8.5,29.7,45.5,259
2011/07/22 16:00:00,76.2687,24.6,8.5,29.7,45.5,259
2011/07/22 16:15:00,76.2687,24.6,8.5,29.7,45.5,254
2011/07/22 16:30:00,76.2687,24.6,8.5,29.7,45.5,257
2011/07/22 16:45:00,76.2125,24.6,8.5,29.7,45.5,258
2011/07/22 17:00:00,76.2687,24.6,8.5,29.7,45.5,257
2011/07/22 17:15:00,76.2687,24.6,8.5,29.7,45.5,256
2011/07/22 17:30:00,76.2687,24.6,8.5,29.7,45.5,257
2011/07/22 17:45:00,76.2687,24.6,8.5,29.7,45.5,198
2011/07/22 18:00:00,76.2125,24.6,8.5,29.7,45.5,246
2011/07/22 18:15:00,76.2687,24.6,8.5,29.7,45.5,242
2011/07/22 18:30:00,76.2125,24.6,8.5,29.7,45.5,253
2011/07/22 18:45:00,76.2687,24.6,8.5,29.7,45.5,255
2011/07/22 19:00:00,76.2687,24.6,8.5,29.7,45.5,256
2011/07/22 19:15:00,76.2125,24.6,8.5,29.7,45.5,257
2011/07/22 19:30:00,76.2125,24.6,8.5,29.7,45.5,258
2011/07/22 19:45:00,76.2125,24.6,8.5,29.7,45.5,259
2011/07/22 20:00:00,76.1563,24.6,8.5,29.7,45.5,259
2011/07/22 20:15:00,76.1563,24.6,8.5,29.7,45.5,258
2011/07/22 20:30:00,76.1563,24.6,8.5,29.7,45.5,258
2011/07/22 20:45:00,76.1563,24.6,8.5,29.7,45.5,258
2011/07/22 21:00:00,76.1563,24.6,8.5,29.7,45.5,259
2011/07/22 21:15:00,76.1563,24.6,8.5,29.7,45.5,258
