Time,Ocean_Temp_C (Celsius),Ocean_pH,Ocean_Salinity (ppt),Ocean_Conductivity (mS/cm),Ocean_ORP (millivolts),Ocean_BGA_PE (Cells/Liter),Ocean_Chlorophyll (micrograms/Liter),Ocean_DO_sat (%)
10/17/18 22:30,21.08,8.254999,31.535,44.6875,760,291.599976,24.574999,93
10/17/18 22:45,0,0,31.529999,44.612499,762,272.399994,24.949999,0
10/17/18 23:00,21.08,8.254999,31.529999,44.5625,760,329.599976,25.549999,93
10/17/18 23:15,21.08,8.254999,31.525,44.668747,762,266,26.099998,92.5
10/17/18 23:30,20.955,8.254999,0,44.631248,758,274.399994,21.449999,92.5
10/17/18 23:45,20.934999,8.254999,31.519999,44.737499,760,339.599976,35.099998,92.5
10/18/18 0:00,20.955,8.254999,31.514999,44.631248,760,323.199982,15.575,92.5
10/18/18 0:15,20.934999,8.254999,31.514999,44.643749,760,306.399994,12.737499,92
10/18/18 0:30,20.934999,8.254999,31.509998,44.6875,762,397.599976,14.275,92
10/18/18 0:45,20.934999,8.254999,31.509998,44.668747,760,279.599976,16.025,92
10/18/18 1:00,20.934999,8.254999,31.504999,44.5625,766,273.199982,24.224998,91.5
10/18/18 1:15,20.934999,8.259999,31.504999,44.618748,764,249.399994,21.275,92
10/18/18 1:30,20.934999,8.254999,31.5,44.512497,764,316.799988,20.799999,91.5
10/18/18 1:45,20.934999,8.254999,31.5,44.524998,766,304.399994,13.2125,91.5
10/18/18 2:00,20.934999,8.254999,31.619999,44.3125,764,362,21.025,91.5
10/18/18 2:15,20.934999,8.254999,31.615,44.40625,766,338,15.0125,91.5
10/18/18 2:30,20.934999,8.254999,31.615,44.362499,766,327.199982,14.599999,91
10/18/18 2:45,20.934999,8.254999,31.609999,44.34375,766,278.799988,24.324999,91
10/18/18 3:00,20.934999,8.259999,31.609999,44.431248,764,271.599976,33.149998,91
10/18/18 3:15,20.914999,8.254999,31.605,44.481247,764,339.599976,32.099998,91
10/18/18 3:30,20.914999,8.254999,31.599998,44.368748,764,316.399994,14.724999,91
