Date,Location,Turbidity (RFU),Phosphate (mg/L),"Nitrate, Mid-Range (mg/L)","Nitrate, High-Range (mg/L)",pH,Alkalinity (mg/L CaCO3),Silica (mg/L),Iron (mg/L),Ammonia (mg/L),ORP,Initials,Notes
2017-12-01,Ocean,NA,NA,0.7,1.4,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-07,Ocean,0,0.04,0.9,1.5,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-15,Ocean,0,0.05,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-21,Ocean,0,0.06,1,1.3,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-28,Ocean,0,0.05,0.8,1.5,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-03,Ocean,0,0.08,1.2,2,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,Ocean,0,0.09,1.1,2.5,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-19,Ocean,0,0.05,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-25,Ocean,0,0.12,1.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-31,Ocean,3,0.29,1,1.9,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-10,Ocean,0,0.2,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-14,Ocean,0,0.05,0.8,1.4,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-23,Ocean,0,0.06,0.7,1.8,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-02,Ocean,0,0.33,0.8,1.1,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-08,Ocean,0,0.12,0.9,1.6,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-17,Ocean,0,0.11,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-20,Ocean,0,0.1,0.7,1.8,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-29,Ocean,0,0.12,1,1.3,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-03,Ocean,1,0.13,1.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-11,Ocean,0,0.12,0.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-19,Ocean,0,0.06,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-27,Ocean,2,0.22,1.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-01,Ocean,0,0.03,1.1,2.8,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-10,Ocean,0,0.09,1,2.3,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-18,Ocean,0,0.08,1.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-25,Ocean,0,0.05,0.7,2,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Ocean,0,0.12,1.1,2.3,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-07,Ocean,0,0.2,0.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-13,Ocean,0,0.17,1.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-22,Ocean,0,0.15,0.9,1.2,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-26,Ocean,0,0.18,1.1,1.9,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-05,Ocean,0,0.07,1.3,2,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-10,Ocean,0,0.1,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-19,Ocean,0,0.08,1.1,1.8,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-01,Ocean,0,0.09,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-21,Ocean,0,0.1,1.1,3.8,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-27,Ocean,0,0.04,1.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-04,Ocean,0,0.06,1.1,1.9,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-06,Ocean,0,0.04,0.7,1.1,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-13,Ocean,5,0.56,1.4,5.4,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-19,Ocean,0,0.35,0.8,1.2,NA,NA,NA,NA,NA,NA,KL,NA
2018-10-25,Ocean,0,0.08,0.8,1.2,NA,NA,NA,NA,NA,NA,KL,NA
2018-11-01,Ocean,0,0.06,1.3,1.2,NA,NA,NA,NA,NA,NA,KL,NA
2018-11-08,Ocean,0,0.06,1.2,3.5,NA,NA,NA,NA,NA,NA,KL,NA
2018-11-15,Ocean,0,0.09,0.9,2.6,NA,NA,NA,NA,NA,NA,KL,NA
2018-11-18,Ocean,NA,NA,NA,NA,8.2,NA,0.32,NA,NA,NA,DMT,NA
2018-11-20,Ocean,NA,NA,NA,NA,NA,132,0.33,0.005,NA,NA,"FL, KM",NA
2018-11-30,Ocean,0,0.03,1.2,1.8,8.29,NA,0.3,0.004,NA,NA,"AB, KL",NA
2018-12-01,Ocean,0,0.03,0.8,1.8,NA,NA,NA,NA,NA,NA,KM,NA
2018-12-06,Ocean,0,0.06,0.8,1.5,NA,NA,NA,NA,NA,NA,"KM, FL",NA
2018-12-07,Ocean,NA,NA,NA,NA,8.3,68,0.26,0,NA,NA,KM,NA
2018-12-13,Ocean,0,0.09,3.4,2.5,NA,NA,NA,NA,NA,NA,KL,NA
2018-12-21,Ocean,8,0.05,0.7,1,8.39,NA,NA,NA,NA,NA,KM,NA
2019-01-03,Ocean,0,0.07,0.08,1.6,NA,NA,NA,NA,NA,NA,"KM, FL",NA
2019-01-19,Ocean,0,0.06,0.7,1,8.45,75,NA,NA,NA,NA,KM,NA
2019-01-25,Ocean,2,0.03,0.7,1.6,NA,NA,NA,NA,NA,NA,KL,NA
2019-01-31,Ocean,0,0.03,1.1,2.5,NA,NA,0.03,0.087,NA,NA,KL,NA
2019-02-01,Ocean,0,0,0.9,2,8.5,136,0.16,0.005,NA,NA,KL,NA
2019-02-21,Ocean,0,0.06,0.6,1.6,8.7,125.2,0.28,0.007,NA,NA,KL,NA
2019-02-28,Ocean,0,0,1,2,8.6,111.6,0,0.023,NA,NA,KL,NA
2019-03-01,Ocean,0,0.05,0.7,2,8.7,NA,0.24,0.013,NA,NA,KL,NA
2019-03-07,Ocean,0,NA,0.7,1.8,8.6,107.2,0.48,0,NA,NA,KL,NA
2019-03-14,Ocean,0,0.02,0.7,1,8.5,145.2,0.31,0,NA,NA,KL,NA
2019-03-21,Ocean,0,0,0.8,1.5,NA,118,NA,NA,NA,NA,KL,NA
2019-03-22,Ocean,0,0.04,0.5,0.9,8.3,134,0.21,0.008,NA,NA,KL,NA
2019-03-28,Ocean,0,0.02,0.4,0.8,8.2,124,0.36,0.002,NA,NA,KL,NA
2019-04-04,Ocean,1,0.02,0.7,1.2,8.6,121,0.51,0,NA,NA,KL,NA
2019-04-11,Ocean,0,0,0.6,1,8.2,102,0.21,0.02,NA,NA,KL,NA
2019-04-18,Ocean,0,0.02,0.4,0.7,8.3,107,0.3,0.003,NA,NA,KL,NA
2019-04-25,Ocean,0,0.07,0.8,1.5,8.4,95,0,0,NA,NA,KL,NA
2019-05-02,Ocean,0,0.07,0.6,0.4,8,87,0.32,0,NA,NA,KL,NA
2019-05-17,Ocean,2,0.05,0.7,1.3,NA,95,0.19,0.007,NA,NA,KM,NA
2019-05-31,Ocean,0,0.09,0.7,2.3,NA,85,0.45,0,NA,NA,"KM, LC, ES",NA
2019-06-07,Ocean,0,0,1.5,1.7,NA,126,0.46,NA,NA,NA,ES,NA
2019-06-11,Ocean,0,0,0.9,1.7,8.4,114.5,0.32,0,NA,66,"JT, KM, DT",NA
2019-06-14,Ocean,6,0.06,0.8,2.2,8.46,132,0.82,0.015,NA,44,"LC, KM",NA
2019-06-18,Ocean,0,0.04,1.1,2.7,8.45,119,0.24,0,NA,19,"JT, KM",NA
2019-06-21,Ocean,0,0.07,1.3,1.5,8.45,118,0.26,0.006,NA,30,"LC, JT",NA
2019-06-25,Ocean,0,0,1.1,1.4,8.49,111,0.77,0.003,NA,21,JT,NA
2019-06-28,Ocean,0,0.04,0.7,1.7,8.48,112,0.61,0.012,NA,14,"LC, JT",NA
2019-07-02,Ocean,0,0,0.8,1.8,8.48,117,0.45,0.001,NA,1,JT,NA
2019-07-05,Ocean,0,0,1,0.9,8.48,NA,1.4,0.003,NA,30,JT,NA
2019-07-09,Ocean,0,0.48,1,1,8.5,NA,0.42,NA,NA,29,KM,NA
2019-07-12,Ocean,0,0,0.5,1,8.47,NA,0.5,0,NA,8,LC,NA
2019-07-16,Ocean,0,0,1,1.3,8.48,128,1.43,0.176,NA,42,JT,NA
2019-07-19,Ocean,0,0,0.8,1.2,8.44,115,0.77,0,NA,24,LC,NA
2019-07-23,Ocean,0,0,1.2,1.3,8.45,130,1.91,0.022,NA,39,JT,NA
2019-07-26,Ocean,0,0.53,1.8,3.7,8.44,130,0.34,0.055,NA,34,JT,NA
2019-07-30,Ocean,0,0.53,1.1,1.1,8.49,132,0.46,NA,NA,47,JT,NA
2019-08-02,Ocean,0,0.17,1.1,1.1,8.41,135,0.65,0.009,NA,42,JT,NA
2019-08-09,Ocean,7,0.06,NA,NA,8.43,103,0.62,0.056,NA,NA,KM,NA
2019-08-16,Ocean,0,0.07,NA,NA,8.44,111,0.39,0,NA,87,LC,NA
2019-08-23,Ocean,0,0,0.7,1.3,8.47,128,0.64,0.008,NA,NA,KM,NA
2019-09-06,Ocean,4,0.03,0.7,1.2,8.48,115,0.85,0.007,NA,NA,KM,NA
2019-09-13,Ocean,7,0.05,0.8,1.7,8.45,139,1.12,0.014,NA,NA,KL,NA
2019-09-20,Ocean,7,0.03,0.6,0.2,8.41,123,1.26,0,NA,NA,KL,NA
2019-09-27,Ocean,0,0.03,0.5,0.3,8.31,125,1.51,0.006,NA,NA,KL,NA
2019-10-17,Ocean,0,0,0.4,1.1,8.48,127,1.1,0.006,NA,NA,KM,NA
