Date,Ocean,Region,Location,Depth (m),Temperature (ºC),Salinity (PSU),Phosphate (µmol/kg),Silicate (µmol/kg),Nitrate (µmol/kg),pH,Chlorophyll (µg/L),Alkalinity (µEq/L),Dissolved Organic Carbon (µmol/kg),Iron (mg/L)
12/24/11,Pacific,North Philippine Sea,Northern Mariana Islands,15,27.9801,34.6823,0.0684,0.39,0.035,8.1296,0.062,2338.3,,
12/28/11,Pacific,North Philippine Sea,Northern Mariana Islands,10,28.637,33.8799,0.084,0.9,0.1,8.1333,0.04,2286,,
12/31/11,Pacific,North Philippine Sea,Northern Mariana Islands,15,29.5197,34.3094,0.152,0.62,0.065,8.1266,0.093,2314.2,,
4/11/15,Pacific,French Polynesia,Near Huahine,15,29.1751,35.8356,0.09,0.7,0,8.1191,0.065,2420.4,,
4/12/15,Pacific,French Polynesia,Near Huahine,0,29.3963,35.4015,0.12,0.6,0,8.1249,0.048,2392.6,,
4/13/15,Pacific,French Polynesia,Near Huahine,10,29.258,35.9272,0.09,0.26,0,8.1222,0.0849,2427.4,,
3/29/16,Indian,Indonesia,Cocos (Keeling) Islands,10,26.2784,35.0105,0.063,1.4,0,8.0849,0.0651,2352.09,,
3/30/16,Indian,Indonesia,Cocos (Keeling) Islands,10,26.7665,34.9694,0.055,1.3,0,8.0826,0.0572,2352.35,,
3/31/16,Indian,Indonesia,Cocos (Keeling) Islands,10,27.3051,34.9245,0.04,1.4,0,8.0852,0.0667,2350.39,,
4/2/21,Atlantic,Southern Carribean,Aruba,0,24.9275,37.3756,0,0.58,0.03,8,0.0451,3000,,
4/3/21,Atlantic,Southern Carribean,Aruba,0,24.9234,37.3583,0,0.58,0,8.0879,0.0437,2504.62,,
4/4/21,Atlantic,Southern Carribean,Aruba,10,25.032,37.2449,0,0.58,0,8.08923,0.04397,2498,,
5/1/22,Pacific,North Philippine Sea,Northern Mariana Islands,0,27.882,34.5916,0.03,0.3,0,8.0897,0.0135,2329.6,,
12/10/15,Atlantic,Florida Keys,Florida Keys,0,24.8,32.2,,,,7.953,,2299.1,2061.5,
12/10/15,Atlantic,Florida Keys,Florida Keys,0,24.9,32.1,,,,7.958,,2298.1,2056.7,
12/10/15,Atlantic,Florida Keys,Florida Keys,0,25,32.3,,,,7.968,,2303.8,2056.4,
12/10/15,Atlantic,Florida Keys,Florida Keys,0,24.9,32.2,,,,7.967,,2301.4,2057.1,
12/10/15,Atlantic,Florida Keys,Florida Keys,0,24.9,32.1,,,,7.961,,2298.3,2057.2,
12/10/15,Atlantic,Florida Keys,Florida Keys,0,25,32.1,,,,7.97,,2299.9,2053.4,
12/10/15,Atlantic,Florida Keys,Florida Keys,0,25,32.1,,,,7.961,,2297.2,2055.3,
1/1/16,Atlantic,Florida Keys,Florida Keys,0,26.4,33.8,,,,8.046,,2353,2025.2,
1/1/16,Atlantic,Florida Keys,Florida Keys,0,26.4,33.8,,,,8.055,,2355,2021.2,
1/1/16,Atlantic,Florida Keys,Florida Keys,0,26.4,33.8,,,,8.059,,2356.3,2019.6,
1/1/16,Atlantic,Florida Keys,Florida Keys,0,26.4,33.8,,,,8.046,,2360.5,2031.2,
1/1/16,Atlantic,Florida Keys,Florida Keys,0,26.4,33.8,,,,8.042,,2358,2031.4,
1/1/16,Atlantic,Florida Keys,Florida Keys,0,26.4,33.8,,,,8.054,,2363,2028.9,
1/1/16,Atlantic,Florida Keys,Florida Keys,0,26.4,33.8,,,,8.054,,2360.4,2026.1,
1/1/16,Atlantic,Florida Keys,Florida Keys,0,26.4,33.8,,,,8.061,,2363.7,2034.2,
1/1/16,Atlantic,Florida Keys,Florida Keys,0,26.4,33.8,,,,8.063,,2366.9,2035,
1/1/16,Atlantic,Florida Keys,Florida Keys,0,26.4,33.8,,,,8.053,,2363.8,2038.7,
1/4/16,Atlantic,Florida Keys,Florida Keys,0,24.441,34.31342,,,,8.02,,2438.8,2151.2,
1/4/16,Atlantic,Florida Keys,Florida Keys,0,25.755,36.184964,,,,8.043,,2358.5,2038.4,
1/4/16,Atlantic,Florida Keys,Florida Keys,0,27.058,36.120426,,,,8.043,,2352.4,2021.6,
1/4/16,Atlantic,Florida Keys,Florida Keys,0,25.609,36.211164,,,,8.046,,2365.9,2044.5,
1/4/16,Atlantic,Florida Keys,Florida Keys,0,26.437,36.162694,,,,8.043,,2352.8,2027.8,
1/4/16,Atlantic,Florida Keys,Florida Keys,0,27.139,36.133874,,,,8.051,,2356,2019.1,
1/4/16,Atlantic,Florida Keys,Florida Keys,0,25.602,35.981903,,,,8.02,,2361.9,2058.6,
1/4/16,Atlantic,Florida Keys,Florida Keys,0,26.121,36.160074,,,,8.053,,2354.9,2026.1,
1/4/16,Atlantic,Florida Keys,Florida Keys,0,26.632,36.228194,,,,8.055,,2360.9,2025.1,
