Region,Latitude,Longitude
Northern Mariana Islands,15.18107,145.84822
Near Huahine,-16.7329,-151.01109
Cocos (Keeling) Islands,-12.16565,96.83771
Aruba,12.51868,-69.9618
Florida Keys,24.81439,-80.60963
Dry Tortugas,24.667,-82.85557
Puerto Rico,18.20864,-66.58633
St. Croix,17.72405,-64.83051
St. Thomas,18.34155,-64.89874
St. John,18.33732,-64.72666
Flower Garden Banks National Marine Sanctuary,27.9069,-93.81361
Florida,29.21532,-81.62248
Southeast Florida Coral Reef Initiative,26.36945,-80.0474
Upper Keys,25.07016,-80.33191
Middle Keys,24.68643,-81.03503
Lower Keys,24.57159,-81.79309
Tutuila,-14.29665,-170.72425
Molokai,21.13598,-157.10221
Hawai'i (Big Island),19.3974,-155.66616
Maui,20.74914,-156.15505
Niihau,21.90727,-160.14937
Baker Island,0.19575,-176.47938
Jarvis Island,-0.37641,-159.99755
Howland Island,0.80872,-176.61571
Guam,13.4506,144.76817
Asuncion Island,19.69003,145.40804
Palmyra Atoll,5.88248,-162.07633
Kingman Reef,6.38401,-162.41667
Tinian,15.00491,145.63421
Wake Atoll,19.29377,166.63213
Ta'u,-14.23318,-169.46381
Ofu and Olosega Islands,-14.17662,-169.63896
Kure Atoll,28.39663,-178.29891
Maug,20.02342,145.22153
Oahu,21.54324,158.13259
Kaho'olawe,20.57109,-156.60019
Johnston Atoll,16.74498,-169.51466
Pearl and Hermes Atoll,27.83462,-175.83368
Lana'i,20.79023,-156.86916
Kauai,22.04642,-159.48114
Farallon de Pajaros,20.5445,144.89209
Pagan,18.1223,145.76895
Agrihan,18.76588,145.66781
French Frigate Shoals,23.75046,-166.14594
Maro Reef,25.41732,-170.59034
Lisianski Island,26.06534,-173.96715
Rose Atoll,-14.54176,-168.15616
Rota,15.59086,152.94677
Alamagan,17.60149,145.83239
Saipan,15.18333,145.75
Aguijan (Goat Is.),14.85335,145.55865
Sarigan,16.70316,145.78102
Guguan,17.30932,145.83895
Swains Island,-11.05634,-171.07868
Oceanside Majuro,7.04741,171.21193
Arno Atoll,7.05448,171.68896
Majuro Atoll,7.11816,171.23138
Midway Atoll,28.25259327,-177.3330241
