row,column,cor_coeff,p_value
Phosphate (mg/L),"Nitrate, Mid-Range (mg/L)",0.28,0
Phosphate (mg/L),"Nitrate, High-Range (mg/L)",0.2,0
"Nitrate, Mid-Range (mg/L)","Nitrate, High-Range (mg/L)",0.62,0
"Nitrate, Mid-Range (mg/L)",Alkalinity (mg/L CaCO3),-0.14,0.02
Phosphate (mg/L),Silica (mg/L),0.26,0
"Nitrate, High-Range (mg/L)",Silica (mg/L),-0.12,0.05
Alkalinity (mg/L CaCO3),Silica (mg/L),0.15,0.01
"Nitrate, Mid-Range (mg/L)",Iron (mg/L),0.15,0.01
"Nitrate, High-Range (mg/L)",Iron (mg/L),0.12,0.04
Phosphate (mg/L),Temperature (ºF),0.23,0
"Nitrate, Mid-Range (mg/L)",Temperature (ºF),0.36,0
Silica (mg/L),Temperature (ºF),0.46,0
Iron (mg/L),Temperature (ºF),0.16,0.03
Phosphate (mg/L),Temperature (ºC),0.25,0
"Nitrate, Mid-Range (mg/L)",Temperature (ºC),0.4,0
"Nitrate, High-Range (mg/L)",Temperature (ºC),0.12,0.04
Silica (mg/L),Temperature (ºC),0.31,0
Iron (mg/L),Temperature (ºC),0.19,0
Temperature (ºF),Temperature (ºC),1,0
Phosphate (mg/L),pH,-0.19,0
"Nitrate, Mid-Range (mg/L)",pH,-0.32,0
"Nitrate, High-Range (mg/L)",pH,-0.11,0.04
Silica (mg/L),pH,-0.27,0
Iron (mg/L),pH,-0.28,0
Temperature (ºF),pH,-0.31,0
Temperature (ºC),pH,-0.28,0
"Nitrate, Mid-Range (mg/L)",pH (mV),-0.38,0
"Nitrate, High-Range (mg/L)",pH (mV),-0.29,0
Alkalinity (mg/L CaCO3),pH (mV),-0.2,0.01
Temperature (ºF),pH (mV),0.18,0.02
pH,pH (mV),-0.38,0
Phosphate (mg/L),Salinity (PSU),-0.13,0.02
"Nitrate, Mid-Range (mg/L)",Salinity (PSU),-0.14,0.01
"Nitrate, High-Range (mg/L)",Salinity (PSU),-0.23,0
Iron (mg/L),Salinity (PSU),-0.29,0
Temperature (ºF),Salinity (PSU),0.2,0
Temperature (ºC),Salinity (PSU),0.13,0.01
pH,Salinity (PSU),0.19,0
pH (mV),Salinity (PSU),-0.39,0
"Nitrate, High-Range (mg/L)",Conductivity (µS/cm),-0.14,0.02
Iron (mg/L),Conductivity (µS/cm),-0.16,0.01
Temperature (ºF),Conductivity (µS/cm),0.64,0
Temperature (ºC),Conductivity (µS/cm),0.6,0
pH (mV),Conductivity (µS/cm),-0.38,0
Salinity (PSU),Conductivity (µS/cm),0.87,0
Silica (mg/L),"Conductivity, Non-Linear Function (µS/cm)",0.16,0.04
Iron (mg/L),"Conductivity, Non-Linear Function (µS/cm)",-0.19,0.01
Temperature (ºF),"Conductivity, Non-Linear Function (µS/cm)",-0.16,0.03
pH,"Conductivity, Non-Linear Function (µS/cm)",0.24,0
pH (mV),"Conductivity, Non-Linear Function (µS/cm)",-0.4,0
Salinity (PSU),"Conductivity, Non-Linear Function (µS/cm)",1,0
Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)",0.99,0
Silica (mg/L),"Conductivity, Specific (µS/cm)",0.15,0.05
Iron (mg/L),"Conductivity, Specific (µS/cm)",-0.19,0.02
Temperature (ºF),"Conductivity, Specific (µS/cm)",-0.16,0.03
pH,"Conductivity, Specific (µS/cm)",0.23,0
pH (mV),"Conductivity, Specific (µS/cm)",-0.4,0
Salinity (PSU),"Conductivity, Specific (µS/cm)",0.99,0
Conductivity (µS/cm),"Conductivity, Specific (µS/cm)",0.99,0
"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",1,0
Salinity (PSU),Dissolved Oxygen (mg/L),-0.41,0
Conductivity (µS/cm),Dissolved Oxygen (mg/L),-0.4,0
"Conductivity, Non-Linear Function (µS/cm)",Dissolved Oxygen (mg/L),-0.41,0
"Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),-0.41,0
Phosphate (mg/L),"Dissolved Oxygen, Saturated (%)",-0.19,0
"Nitrate, Mid-Range (mg/L)","Dissolved Oxygen, Saturated (%)",-0.42,0
"Nitrate, High-Range (mg/L)","Dissolved Oxygen, Saturated (%)",-0.2,0
Alkalinity (mg/L CaCO3),"Dissolved Oxygen, Saturated (%)",0.16,0.01
Iron (mg/L),"Dissolved Oxygen, Saturated (%)",-0.14,0.02
Temperature (ºF),"Dissolved Oxygen, Saturated (%)",-0.3,0
Temperature (ºC),"Dissolved Oxygen, Saturated (%)",-0.37,0
pH,"Dissolved Oxygen, Saturated (%)",0.43,0
Conductivity (µS/cm),"Dissolved Oxygen, Saturated (%)",-0.23,0
"Conductivity, Non-Linear Function (µS/cm)","Dissolved Oxygen, Saturated (%)",-0.17,0.02
"Conductivity, Specific (µS/cm)","Dissolved Oxygen, Saturated (%)",-0.17,0.02
Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)",0.95,0
Phosphate (mg/L),"Dissolved Oxygen, Local (%)",0.17,0.02
Alkalinity (mg/L CaCO3),"Dissolved Oxygen, Local (%)",0.21,0.01
Iron (mg/L),"Dissolved Oxygen, Local (%)",-0.2,0.01
pH,"Dissolved Oxygen, Local (%)",0.22,0
pH (mV),"Dissolved Oxygen, Local (%)",-0.3,0
Dissolved Oxygen (mg/L),"Dissolved Oxygen, Local (%)",0.36,0
"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",0.51,0
Phosphate (mg/L),Oxygen Reduction Potential (mV),-0.31,0
"Nitrate, Mid-Range (mg/L)",Oxygen Reduction Potential (mV),-0.37,0
"Nitrate, High-Range (mg/L)",Oxygen Reduction Potential (mV),-0.19,0
Silica (mg/L),Oxygen Reduction Potential (mV),-0.49,0
Iron (mg/L),Oxygen Reduction Potential (mV),-0.34,0
Temperature (ºF),Oxygen Reduction Potential (mV),-0.59,0
Temperature (ºC),Oxygen Reduction Potential (mV),-0.44,0
pH,Oxygen Reduction Potential (mV),0.68,0
Salinity (PSU),Oxygen Reduction Potential (mV),0.23,0
"Dissolved Oxygen, Saturated (%)",Oxygen Reduction Potential (mV),0.21,0
