row,column,cor_coeff,p_value
Turbidity (RFU),Phosphate (mg/L),0.1,0.07
Turbidity (RFU),"Nitrate, Mid-Range (mg/L)",-0.03,0.6
Phosphate (mg/L),"Nitrate, Mid-Range (mg/L)",0.28,0
Turbidity (RFU),"Nitrate, High-Range (mg/L)",0.05,0.4
Phosphate (mg/L),"Nitrate, High-Range (mg/L)",0.2,0
"Nitrate, Mid-Range (mg/L)","Nitrate, High-Range (mg/L)",0.62,0
Turbidity (RFU),Alkalinity (mg/L CaCO3),-0.1,0.1
Phosphate (mg/L),Alkalinity (mg/L CaCO3),0,0.97
"Nitrate, Mid-Range (mg/L)",Alkalinity (mg/L CaCO3),-0.14,0.02
"Nitrate, High-Range (mg/L)",Alkalinity (mg/L CaCO3),-0.08,0.21
Turbidity (RFU),Silica (mg/L),0.05,0.45
Phosphate (mg/L),Silica (mg/L),0.26,0
"Nitrate, Mid-Range (mg/L)",Silica (mg/L),-0.06,0.29
"Nitrate, High-Range (mg/L)",Silica (mg/L),-0.12,0.05
Alkalinity (mg/L CaCO3),Silica (mg/L),0.15,0.01
Turbidity (RFU),Iron (mg/L),-0.09,0.15
Phosphate (mg/L),Iron (mg/L),-0.04,0.49
"Nitrate, Mid-Range (mg/L)",Iron (mg/L),0.15,0.01
"Nitrate, High-Range (mg/L)",Iron (mg/L),0.12,0.04
Alkalinity (mg/L CaCO3),Iron (mg/L),-0.1,0.1
Silica (mg/L),Iron (mg/L),0.07,0.26
Turbidity (RFU),Ammonia (mg/L),0.55,0.07
Phosphate (mg/L),Ammonia (mg/L),0.44,0.17
"Nitrate, Mid-Range (mg/L)",Ammonia (mg/L),-0.21,0.53
"Nitrate, High-Range (mg/L)",Ammonia (mg/L),-0.02,0.96
Alkalinity (mg/L CaCO3),Ammonia (mg/L),0.3,0.34
Silica (mg/L),Ammonia (mg/L),-0.38,0.25
Iron (mg/L),Ammonia (mg/L),-0.43,0.21
Turbidity (RFU),Temperature (ºF),-0.08,0.24
Phosphate (mg/L),Temperature (ºF),0.23,0
"Nitrate, Mid-Range (mg/L)",Temperature (ºF),0.36,0
"Nitrate, High-Range (mg/L)",Temperature (ºF),0,0.98
Alkalinity (mg/L CaCO3),Temperature (ºF),0.09,0.22
Silica (mg/L),Temperature (ºF),0.46,0
Iron (mg/L),Temperature (ºF),0.16,0.03
Ammonia (mg/L),Temperature (ºF),-0.45,0.12
Turbidity (RFU),Temperature (ºC),-0.08,0.15
Phosphate (mg/L),Temperature (ºC),0.25,0
"Nitrate, Mid-Range (mg/L)",Temperature (ºC),0.4,0
"Nitrate, High-Range (mg/L)",Temperature (ºC),0.12,0.04
Alkalinity (mg/L CaCO3),Temperature (ºC),-0.02,0.69
Silica (mg/L),Temperature (ºC),0.31,0
Iron (mg/L),Temperature (ºC),0.19,0
Ammonia (mg/L),Temperature (ºC),-0.45,0.13
Temperature (ºF),Temperature (ºC),1,0
Turbidity (RFU),pH,0.04,0.47
Phosphate (mg/L),pH,-0.19,0
"Nitrate, Mid-Range (mg/L)",pH,-0.32,0
"Nitrate, High-Range (mg/L)",pH,-0.11,0.04
Alkalinity (mg/L CaCO3),pH,0.07,0.24
Silica (mg/L),pH,-0.27,0
Iron (mg/L),pH,-0.28,0
Ammonia (mg/L),pH,0.03,0.92
Temperature (ºF),pH,-0.31,0
Temperature (ºC),pH,-0.28,0
