Time Interval,Date,Temperature (ºF),Temperature (ºC),pH (mV),Salinity (PSU),Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",Oxygen Reduction Potential (mV),Chlorophyll (RFU),Total Algae (RFU),Total Dissolved Solids (mg/L),pH (YSI),Turbidity (RFU),Phosphate (mg/L),"Nitrate, Mid-Range (mg/L)","Nitrate, High-Range (mg/L)",pH_Hach,Alkalinity (mg/L CaCO3),Silica (mg/L),Iron (mg/L),Ammonia (mg/L)
Yearly,2011-12-31,78.5187,25.9,NA,28.8,45200,NA,NA,NA,NA,NA,318,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yearly,2012-12-31,78.35,25.7,NA,26.3,41800,NA,NA,NA,NA,NA,348,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yearly,2013-12-31,75.0875,23.9,NA,25.2,38400,NA,NA,NA,NA,NA,182,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yearly,2014-12-31,76.6625,24.8,NA,24.1,37800,NA,NA,NA,NA,NA,182,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yearly,2015-12-31,73.0062,22.7,NA,24.3,36000,NA,NA,NA,NA,NA,167,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yearly,2016-12-31,74.75,23.7,NA,24.7,37700,NA,NA,NA,NA,NA,147,NA,0,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yearly,2017-12-31,71.4875,22.22,NA,27.5,41500,NA,NA,NA,NA,NA,794.4,NA,0.500781,NA,8.2,0,0.05,0.9,1.5,NA,NA,NA,NA,NA
Yearly,2018-12-31,76.3813,24.3,NA,31.414999,47100,NA,NA,NA,92,NA,778,NA,0,NA,8.7,0,0.09,1,1.8,8.295,132,0.31,0.004,NA
Yearly,2019-12-31,72.725,22.894999,NA,33.874998000000005,49568.748,NA,NA,NA,92.5,NA,756.875,NA,NA,NA,8.287499,0,0.03,0.7,1.2,8.44,125.2,0.45,0.003,NA
Yearly,2020-12-31,NA,24.894999,NA,34.259998,51337.498,NA,NA,NA,91,NA,747.878906,NA,NA,NA,8.4375,0,0.04,0.75,1.1,8.25,128,0.55,0,NA
Yearly,2021-12-31,77.005234,25.002907,-90.8275145,33.2218705,50668.747,49995.296875,50028.589844,6.1402505000000005,89.349991,102.54339949999999,299.9013365,0.12289,1.0971935,32443.939453,8.147293999999999,0,0.11,1.2,1.5,8.18,128,1.58,0.002,NA
Yearly,2022-12-31,77.083786,25.046549,-100.2459715,33.202209,50699.542969,50536.3632815,50541.035156,6.104619,89.312988,102.215828,228.51605999999998,-0.52852,-2.855538,32829.691406,8.130720499999999,0,0.10500000000000001,1,1.35,8.07,122,1.61,0.008,0.03
Yearly,2023-12-31,77.139809,25.077671,-109.2775575,33.080025,50517.976563,50473.125,50495.642578,6.194266,90.494713,103.6066515,227.4191285,-0.497515,-4.645924,32823.882813,8.154463,0,0.09,1.2,1.73,8.12,130,1.1949999999999998,0.012,0.01
Yearly,2024-12-31,77.2071,25.115057,-91.4161795,32.0959455,49180.589844,49184.1679685,49168.667969,6.1720185,89.3115765,102.220047,244.07685850000001,0.23572,0.699114,31858.549805000002,8.0875385,0,0.06,1.165,1.63,8.09,123,0.9,0.016,0
