datetime,Ocean_Temp_C (Celsius),Ocean_pH,Ocean_Salinity (ppt),Ocean_Conductivity (mS/cm),Ocean_ORP (millivolts),Ocean_BGA_PE (Cells/Liter),Ocean_Chlorophyll (micrograms/Liter),Ocean_DO_sat (%)
2018/10/12 10:45:00,22.209999,8.192499,31.57,45.737499,756,290.799988,27.849998,90
2018/10/12 11:00:00,22.189999,8.192499,31.574999,45.681248,762,308,23.5,90.5
2018/10/12 11:15:00,22.209999,8.197499,31.574999,45.537498,762,339.599976,30.025,90.5
2018/10/12 11:30:00,22.23,8.192499,31.574999,45.5625,758,462.399994,26.875,91
2018/10/12 11:45:00,22.209999,8.192499,31.574999,45.65625,760,487.599976,22.5,91.5
2018/10/12 12:00:00,22.209999,8.197499,31.574999,45.537498,758,270,28.099998,91.5
2018/10/12 12:15:00,22.23,8.197499,31.58,45.724998,756,278.799988,28.275,92
2018/10/12 12:30:00,22.209999,8.192499,31.58,45.6875,760,276,25.549999,92.5
2018/10/12 12:45:00,22.23,8.192499,31.584999,45.587498,758,327.199982,23.724998,93
2018/10/12 13:00:00,22.23,8.192499,31.584999,45.712498,756,350.399994,32.75,93.5
2018/10/12 13:15:00,22.125,8.254999,31.584999,45.543747,756,337.599976,31.525,93.5
2018/10/12 13:30:00,22.125,8.259999,31.584999,45.5625,758,299.199982,23.125,94
2018/10/12 13:45:00,22.125,8.254999,31.589998,45.643749,758,371.599976,33.149998,94
2018/10/12 14:00:00,22.144999,8.259999,31.589998,45.587498,754,337.599976,38.549999,94.5
2018/10/12 14:15:00,22.125,8.254999,31.589998,45.543747,758,326.799988,36.199997,94.5
2018/10/12 14:30:00,22.144999,8.259999,31.589998,45.699997,754,328.399994,37.849998,95
2018/10/12 14:45:00,22.125,8.254999,31.589998,45.625,756,270.799988,30.824999,95
2018/10/12 15:00:00,22.144999,8.259999,31.594999,45.65625,752,252.199997,37.949997,95
2018/10/12 15:15:00,22.144999,8.259999,31.594999,45.568748,752,268.399994,32.349998,95.5
2018/10/12 15:30:00,22.144999,8.254999,31.594999,45.587498,752,358.399994,31.949999,95.5
2018/10/12 15:45:00,22.164999,8.259999,31.594999,45.512497,752,374,30.049999,95.5
2018/10/12 16:00:00,22.144999,8.259999,31.594999,45.581249,752,347.599976,41.099998,95.5
2018/10/12 16:15:00,22.144999,8.259999,31.594999,45.649998,752,286,38.549999,95.5
2018/10/12 16:30:00,22.164999,8.259999,31.594999,45.587498,752,278.799988,39.599998,95.5
2018/10/12 16:45:00,22.144999,8.254999,31.594999,45.581249,758,370.399994,31.4,95.5
2018/10/12 17:00:00,22.144999,8.259999,31.594999,45.712498,752,413.599976,41.199997,95
2018/10/12 17:15:00,22.144999,8.259999,31.594999,45.625,758,305.599976,41.199997,95
