Time,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_Crabwalk_F,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_C,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_pH,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Salinity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Conductivity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_ORP
10/3/14 9:00,74.8625,23.8,8.5,23.8,36.7,188
10/3/14 9:15,74.8063,23.8,8.5,23.8,36.7,188
10/3/14 9:30,74.8063,23.8,8.5,23.8,36.7,189
10/3/14 9:45,74.8063,23.8,8.5,23.8,36.7,190
10/3/14 10:00,74.8063,23.8,8.5,23.8,36.7,189
10/3/14 10:15,74.8625,23.8,8.5,23.8,36.7,190
10/3/14 10:30,74.8063,23.8,8.5,23.8,36.7,189
10/3/14 10:45,74.8063,23.8,8.5,23.8,36.7,189
10/3/14 11:00,74.8625,23.8,8.5,23.8,36.7,189
10/3/14 11:15,74.8625,23.8,8.5,23.8,36.7,189
10/3/14 11:30,74.8625,23.8,8.5,23.8,36.7,189
10/3/14 11:45,74.8625,23.8,8.5,23.8,36.7,190
10/3/14 12:00,74.8625,23.8,8.5,23.8,36.7,190
10/3/14 12:15,74.8625,23.8,8.5,23.8,36.7,189
10/3/14 12:30,74.9188,23.8,8.5,23.8,36.7,189
10/3/14 12:45,74.9188,23.8,8.5,23.8,36.7,189
10/3/14 13:00,74.975,23.8,8.5,23.8,36.7,189
10/3/14 13:15,74.9188,23.8,8.5,23.8,36.7,190
10/3/14 13:30,74.975,23.8,8.5,23.8,36.7,189
10/3/14 13:45,74.975,23.8,8.5,23.8,36.7,190
10/3/14 14:00,74.975,23.9,8.5,23.8,36.8,189
10/3/14 14:15,75.0313,23.9,8.5,23.8,36.8,190
10/3/14 14:30,74.975,23.9,8.5,23.8,36.8,190
10/3/14 14:45,74.975,23.9,8.5,23.8,36.8,189
10/3/14 15:00,74.975,23.9,8.5,23.8,36.8,189
10/3/14 15:15,74.975,23.9,8.5,23.8,36.8,189
10/3/14 15:30,75.0313,23.9,8.5,23.8,36.8,189
10/3/14 15:45,74.975,23.9,8.5,23.8,36.8,189
10/3/14 16:00,74.975,23.9,8.5,23.8,36.8,189
10/3/14 16:15,74.975,23.9,8.5,23.8,36.8,189
10/3/14 16:30,74.975,23.9,8.5,23.8,36.8,189
10/3/14 16:45,74.975,23.9,8.5,23.8,36.7,189
10/3/14 17:00,74.9188,23.9,8.5,23.8,36.7,189
10/3/14 17:15,74.9188,23.9,8.5,23.8,36.7,189
10/3/14 17:30,74.9188,23.9,8.5,23.8,36.7,189
10/3/14 17:45,74.9188,23.9,8.5,23.8,36.7,189
10/3/14 18:00,74.8625,23.9,8.5,23.8,36.7,188
10/3/14 18:15,74.9188,23.9,8.5,23.8,36.7,188
10/3/14 18:30,74.8625,23.8,8.5,23.8,36.7,188
10/3/14 18:45,74.9188,23.8,8.5,23.8,36.7,188
10/3/14 19:00,74.8625,23.8,8.5,23.8,36.7,189
10/3/14 19:15,74.8625,23.8,8.5,23.8,36.7,188
10/3/14 19:30,74.8625,23.8,8.5,23.8,36.7,188
10/3/14 19:45,74.8625,23.8,8.5,23.8,36.7,187
10/3/14 20:00,74.8063,23.8,8.5,23.8,36.7,187
10/3/14 20:15,74.8063,23.8,8.5,23.8,36.7,187
10/3/14 20:30,74.75,23.8,8.5,23.8,36.7,187
10/3/14 20:45,74.75,23.8,8.5,23.8,36.7,188
10/3/14 21:00,74.6938,23.8,8.5,23.8,36.7,187
10/3/14 21:15,74.75,23.7,8.5,23.8,36.7,187
10/3/14 21:30,74.6938,23.7,8.5,23.8,36.7,187
10/3/14 21:45,74.6938,23.7,8.5,23.8,36.7,186
